"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","type=""R"" model=""Battery_Cell"" lib=""""","","","","Maxime:BAT-TH_CR2032-BS-6-1","~"
"C2","1","470nF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05A474KP5NNNC_C47339.pdf"
"C3,C14,C16,C17","4","1uF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05A105KA5NQNC_C52923.pdf"
"C4","1","2.2uF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05A225MQ5NSNC_C12530.pdf"
"C5","1","4.7uF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05A475MP5NRNC_C23733.pdf"
"C6,C8,C18","3","10uF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2208231630_Samsung-Electro-Mechanics-CL05A106MQ5NUNC_C15525.pdf"
"C9,C10,C11,C12,C15,C19,C20","7","100nF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf"
"C13","1","10nF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B103KB5NNNC_C15195.pdf"
"D1","1","1N4148W","","","","Maxime:SOD-123_L2.8-W1.8-LS3.7-RD",""
"D2","1","19-237/R6GHBHC-A01/2T","","","","Maxime:LED-SMD_4P-L1.6-W1.6-19-237A-BHR6GHC-A01-2T",""
"D3,D4,D5","3","1N4148WS","","","","PCM_JLCPCB:D_SOD-323","https://www.lcsc.com/datasheet/lcsc_datasheet_1810101110_Jiangsu-Changjing-Electronics-Technology-Co---Ltd--1N4148WS_C2128.pdf"
"H1,H2,H3,H4,H5,H6","6","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.2mm_M2","~"
"J1","1","Oscilloscope Jack","","","","Maxime:AUDIO-SMD_PJ-320B",""
"J2","1","Axon Output","","","","Maxime:AUDIO-SMD_PJ-320B",""
"J3","1","Syn1 Input","","","","Maxime:AUDIO-SMD_PJ-320B",""
"J4","1","Syn2 Input","","","","Maxime:AUDIO-SMD_PJ-320B",""
