Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT-TH_CR2032-BS-6-1,1,"type=""R"" model=""Battery_Cell"" lib=""""",C70377
"C10, C11, C12, C15, C19, C20, C9",C_0402,7,100nF,C1525
C13,C_0402,1,10nF,C15195
"C14, C16, C17, C3",C_0402,4,1uF,C52923
"C18, C6, C8",C_0402,3,10uF,C15525
C2,C_0402,1,470nF,C47339
C4,C_0402,1,2.2uF,C12530
C5,C_0402,1,4.7uF,C23733
D1,SOD-123_L2.8-W1.8-LS3.7-RD,1,1N4148W,
D2,LED-SMD_4P-L1.6-W1.6-19-237A-BHR6GHC-A01-2T,1,19-237/R6GHBHC-A01/2T,
"D3, D4, D5",D_SOD-323,3,1N4148WS,C2128
J1,AUDIO-SMD_PJ-320B,1,Oscilloscope Jack,
J2,AUDIO-SMD_PJ-320B,1,Axon Output,
J3,AUDIO-SMD_PJ-320B,1,Syn1 Input,
J4,AUDIO-SMD_PJ-320B,1,Syn2 Input,
J5,AUDIO-SMD_PJ-320B,1,Syn3 Input,
J6,AUDIO-SMD_PJ-320B,1,Syn4 Input,
"Q1, Q16, Q17, Q18, Q19, Q2, Q20, Q3, Q6, Q7",SOT-23,10,N_MOSFET,C10488
"Q10, Q11, Q12, Q9",SOT-363-6_L2.0-W1.3-P0.65-LS2.1-BL,4,SI1926DL-T1-E3,
"Q13, Q14",Q_SOT-23,2,MMBT2222A,C7420351
Q15,SOT-23,1,MMBT3904,
"Q4, Q5",SOT-23,2,P_MOSFET,C10487
Q8,TSOP-6_L3.0-W1.5-P0.95-BL,1,SI3552DV-T1-E3,
R1,R_0402,1,6.8kΩ,C25917
"R10, R12, R14, R19, R21, R24, R28, R29, R30, R40, R44, R48, R52, R59, R65, R66, R68, R70, R72, R76, R79, R80, R83, R86, R89, R92",R_0402,26,100kΩ,C25741
"R11, R13, R67, R69, R71, R73, R74, R75, R77, R78, R81, R84, R87, R90, R93",R_0402,15,1MΩ,C26083
"R15, R18, R22, R23, R31, R32, R33, R36, R9",R_0402,9,22kΩ,C25768
R16,R_0402,1,1Ω,C25086
R17,R_0402,1,27kΩ,C25771
"R2, R3",R_0402,2,1kΩ,C11702
"R20, R55",R_0402,2,4.7kΩ,C25900
"R25, R26, R27, R39, R41, R42, R43, R45, R46, R47, R49, R50, R51, R53, R54",R_0402,15,100Ω,C25076
"R34, R35, R6",R_0402,3,47kΩ,C25792
"R37, R38",R_0402,2,2.4kΩ,C25882
R4,R_0402,1,2kΩ,C4109
"R5, R56, R57, R58, R7",R_0402,5,220kΩ,C25767
"R60, R62, R63, R8",R_0402,4,10kΩ,C25744
R61,R_0402,1,300kΩ,C25774
R64,R_0402,1,220Ω,C25091
"R82, R85, R88, R91, R94",R_0402,5,10Ω,C25077
"RV1, RV5, RV6, RV7, RV8",RES-ADJ-SMD_G43BT,5,100kΩ,
"RV2, RV3, RV9",RES-ADJ-SMD_G43BT,3,50kΩ,
RV4,RES-ADJ-SMD_G43BT,1,10kΩ,
SW1,SW-SMD_SSAJ120100,1,SW_SPDT,C160864
"U1, U2, U3",TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,3,MCP6004T-I/ST,
"U4, U5, U6",TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,3,LM339,C42184
