Designator,Mid X,Mid Y,Rotation,Layer
BT1,98.949,-94.115,90.0,bottom
C10,116.33,-105.21,270.0,top
C11,92.88,-127.13,270.0,top
C12,100.17,-88.85,270.0,top
C13,145.996185,-76.508315,0.0,top
C14,140.176185,-77.628315,180.0,top
C15,89.53,-83.41,270.0,top
C16,82.48,-87.11,0.0,top
C17,82.466906,-88.398,0.0,top
C18,112.372524,-101.234,0.0,top
C19,110.07562,-98.63,180.0,top
C2,93.42,-77.89,0.0,top
C20,89.72,-88.85,270.0,top
C3,75.221909,-111.86804,180.0,top
C4,97.07,-118.51,0.0,top
C5,114.83,-110.96,180.0,top
C6,98.72,-77.01,0.0,top
C8,85.73,-75.53,180.0,top
C9,100.15,-84.0,270.0,top
D1,148.856185,-76.978315,270.0,top
D2,111.86,-81.993,180.0,top
D3,85.456906,-89.368,0.0,top
D4,85.456906,-87.218,180.0,top
D5,85.456906,-85.048,180.0,top
J1,110.29,-82.75,0.0,bottom
J2,170.58,-72.77,90.0,bottom
J3,66.482456,-88.574779,250.0,bottom
J4,69.097811,-119.619148,230.0,bottom
J5,95.89,-132.52,180.0,bottom
J6,124.623027,-117.145578,145.0,bottom
Q1,128.636185,-80.078315,180.0,top
Q10,68.359999,-115.778905,90.0,top
Q11,91.8,-133.1,270.0,top
Q12,120.219997,-117.767803,90.0,top
Q13,115.765934,-83.68,0.0,top
Q14,115.765934,-79.88,0.0,top
Q15,102.43,-75.21,180.0,top
Q16,91.12,-79.19,180.0,top
Q17,75.184409,-115.76804,180.0,top
Q18,97.5075,-122.41,180.0,top
Q19,121.1,-110.96,180.0,top
Q2,134.793685,-80.088315,180.0,top
Q20,97.7225,-79.19,180.0,top
Q3,152.768685,-76.685815,180.0,top
Q4,158.863685,-75.788315,180.0,top
Q5,165.030083,-75.369315,180.0,top
Q6,169.815083,-75.379315,180.0,top
Q7,174.618185,-75.379315,180.0,top
Q8,117.972524,-99.934,270.0,top
Q9,68.3915,-91.4215,90.0,top
R1,73.266906,-84.498,180.0,top
R10,145.996185,-77.808315,180.0,top
R11,145.996185,-79.108315,0.0,top
R12,155.066185,-75.388315,0.0,top
R13,155.066185,-77.988315,0.0,top
R14,161.156185,-74.480815,0.0,top
R15,140.176185,-80.228315,180.0,top
R16,140.176185,-78.928315,180.0,top
R17,142.996185,-78.628315,180.0,top
R18,142.996185,-77.328315,0.0,top
R19,142.996185,-79.928315,0.0,top
R2,73.266906,-85.798,0.0,top
R20,137.093685,-78.798315,180.0,top
R21,176.902583,-74.079315,0.0,top
R22,82.466906,-85.798,180.0,top
R23,104.73,-73.91,180.0,top
R24,102.43,-72.61,180.0,top
R25,104.73,-76.51,0.0,top
R26,90.58,-106.72,180.0,top
R27,101.07,-79.84,0.0,top
R28,77.866906,-84.498,0.0,top
R29,77.866906,-85.798,0.0,top
R3,75.566906,-84.498,180.0,top
R30,80.166906,-84.488,0.0,top
R31,110.07562,-101.23,0.0,top
R32,110.06562,-99.93,180.0,top
R33,114.67562,-99.93,0.0,top
R34,114.67562,-98.63,180.0,top
R35,112.372524,-99.934,180.0,top
R36,112.372524,-98.634,180.0,top
R37,114.67562,-101.23,0.0,top
R38,121.27562,-100.93,0.0,top
R39,70.94,-86.09,0.0,top
R4,75.566906,-85.798,180.0,top
R40,70.94,-84.79,0.0,top
R41,70.94,-87.39,180.0,top
R42,70.94,-88.69,0.0,top
R43,71.109999,-116.428905,180.0,top
R44,65.609999,-116.428905,0.0,top
R45,65.609999,-115.128905,0.0,top
R46,71.109999,-115.128905,0.0,top
R47,92.47,-130.29,270.0,top
R48,91.15,-135.9,90.0,top
R49,92.45,-135.9,90.0,top
R5,124.792119,-80.801315,0.0,top
R50,91.15,-130.29,270.0,top
R51,120.719997,-120.267804,90.0,top
R52,119.41643,-120.267803,90.0,top
R53,119.416429,-115.267804,270.0,top
R54,120.720001,-115.267809,90.0,top
R55,98.51,-105.39,90.0,top
