time_s,VDD,V_Boost,VREF_2V048,VREF_1V024,V_Leak_Ref_Max,/V_Leak_ref,V_Leak,Vm_Int,Vm_Display_In,Vm_Ext,V_Threshold,/AP_Gate,AP,/Rising_AP,Spike_Pulse,Peak_Window,Reset_Window,Spike_Out,V_Syn_State,/V_Syn_Drive,V_Stim_Cmd,V_Stim_Drive,Vw,Vw_buff
1.953125e-10,3.0,3.3,2.048,1.02398874,2.048,1.43359699,1.43359699,0.599839131,0.6,0.00516753444,0.848915138,0.267139161,0.00122946624,0.00122888054,0.000614537891,0.000149228489,0.0301493277,9.70611717e-05,1.024,0.599871522,5.89547162e-06,0.0376195336,2.44327766e-10,2.44327766e-10
1.95859375e-10,3.0,3.3,2.048,1.02398874,2.048,1.43359699,1.43359699,0.599838681,0.6,0.00518200322,0.848920761,0.267886945,0.00123274071,0.00123215338,0.000616174823,0.000149498603,0.0302337433,9.73329102e-05,1.024,0.599871072,5.91197886e-06,0.0377248606,2.45002313e-10,2.45002313e-10
1.96953125e-10,3.0,3.3,2.048,1.02398874,2.048,1.43359699,1.43359699,0.599837781,0.6,0.00521094,0.848932002,0.269382021,0.00123928958,0.00123869897,0.000619448649,0.000149824771,0.0304025684,9.7874964e-05,1.024,0.599870172,5.94499313e-06,0.0379354959,2.46336842e-10,2.46336842e-10
1.99140625e-10,3.0,3.3,2.048,1.02398874,2.048,1.43359699,1.43359699,0.599835983,0.6,0.00526880989,0.848954466,0.272369808,0.00125238693,0.00125178975,0.000625996121,0.000150032804,0.0307401898,9.89469304e-05,1.024,0.599868374,6.01102071e-06,0.0383566761,2.4897344e-10,2.4897344e-10
2.01796959e-10,3.0,3.3,2.048,1.02398874,2.048,1.43359699,1.43359699,0.599833802,0.6,0.00533907589,0.848981713,0.275993592,0.00126829061,0.00126768546,0.000633946537,0.000150040288,0.0311501181,0.000100221504,1.024,0.599866193,6.09119779e-06,0.0388679557,2.52155132e-10,2.52155132e-10
2.04825571e-10,3.0,3.3,2.048,1.02398874,2.048,1.43359699,1.43359699,0.599831319,0.6,0.00541918033,0.849012734,0.280119369,0.00128642215,0.00128580793,0.000643010734,0.000150009554,0.0316174249,0.000101636453,1.024,0.59986371,6.18260912e-06,0.0394506558,2.55778197e-10,2.55778197e-10
2.08841326e-10,3.0,3.3,2.048,1.02398874,2.048,1.43359699,1.43359699,0.599828029,0.6,0.00552537879,0.849053793,0.285580237,0.00131046183,0.00130983556,0.000655028556,0.000149993135,0.0322369261,0.000103450843,1.024,0.599860421,6.30381098e-06,0.0402228804,2.60583243e-10,2.60583243e-10
2.13804147e-10,3.0,3.3,2.048,1.02398874,2.048,1.43359699,1.43359699,0.59982397,0.6,0.00565659909,0.849104421,0.292313795,0.00134016838,0.00133952723,0.000669879462,0.00014999093,0.0330023422,0.000105599692,1.024,0.599856361,6.45359066e-06,0.0411765605,2.66522561e-10,2.66522561e-10
2.20686079e-10,3.0,3.3,2.048,1.02398874,2.048,1.43359699,1.43359699,0.599818347,0.6,0.00583851837,0.849174418,0.301623484,0.00138135765,0.00138069586,0.000690471026,0.000149991997,0.0340634004,0.000108417478,1.024,0.599850739,6.66127849e-06,0.0424976991,2.74758269e-10,2.74758269e-10
2.29526537e-10,3.0,3.3,2.048,1.02398874,2.048,1.43359699,1.43359699,0.599811137,0.6,0.0060721358,0.849263982,0.313535517,0.00143426089,0.00143357259,0.000716919081,0.000149992499,0.0354258415,0.000111778734,1.024,0.599843528,6.92805309e-06,0.0441922035,2.85336338e-10,2.85336338e-10
2.41688049e-10,3.0,3.3,2.048,1.02398874,2.048,1.43359699,1.43359699,0.599801238,0.6,0.00639337883,0.849386545,0.329836362,0.0015070232,0.00150629844,0.000753296032,0.000149992529,0.037299033,0.000115968892,1.024,0.599833631,7.29501094e-06,0.046517,2.99885562e-10,2.99885562e-10
