time_s,VDD,V_Boost,VREF_2V048,VREF_1V024,V_Leak_Ref_Max,/V_Leak_ref,V_Leak,Vm_Int,Vm_Display_In,Vm_Ext,V_Threshold,/AP_Gate,AP,/Rising_AP,Spike_Pulse,Peak_Window,Reset_Window,Spike_Out,V_Syn_State,/V_Syn_Drive,V_Stim_Cmd,V_Stim_Drive,Vw,Vw_buff
1.953125e-10,2.99999998,3.3,2.048,1.02398874,2.048,1.02399744,1.02399744,0.599810791,0.6,0.00516753444,0.848915138,0.267139159,0.00122946623,0.00122888053,0.000614537887,0.000149228488,0.0301493275,9.70611712e-05,1.024,0.599843183,5.89528742e-06,0.0376191809,2.4431969e-10,2.4431969e-10
1.95859375e-10,2.99999998,3.3,2.048,1.02398874,2.048,1.02399744,1.02399744,0.599810262,0.6,0.00518200322,0.848920761,0.267886944,0.00123274071,0.00123215337,0.000616174819,0.000149498602,0.0302337431,9.73329097e-05,1.024,0.599842654,5.91179414e-06,0.0377245069,2.44994213e-10,2.44994213e-10
1.96953125e-10,2.99999998,3.3,2.048,1.02398874,2.048,1.02399744,1.02399744,0.599809203,0.6,0.00521094,0.848932002,0.269382019,0.00123928958,0.00123869896,0.000619448646,0.00014982477,0.0304025683,9.78749635e-05,1.024,0.599841595,5.94480737e-06,0.0379351402,2.46328698e-10,2.46328698e-10
1.99140625e-10,2.99999998,3.3,2.048,1.02398874,2.048,1.02399744,1.02399744,0.599807088,0.6,0.00526880989,0.848954466,0.272369807,0.00125238692,0.00125178974,0.000625996117,0.000150032804,0.0307401897,9.89469299e-05,1.024,0.59983948,6.01083286e-06,0.0383563163,2.48965205e-10,2.48965205e-10
2.01796958e-10,2.99999998,3.3,2.048,1.02398874,2.048,1.02399744,1.02399744,0.599804522,0.6,0.00533907587,0.848981713,0.27599359,0.0012682906,0.00126768545,0.000633946532,0.000150040288,0.0311501179,0.000100221503,1.024,0.599836915,6.09100736e-06,0.0388675905,2.52146787e-10,2.52146787e-10
2.04825572e-10,2.99999998,3.3,2.048,1.02398874,2.048,1.02399744,1.02399744,0.599801601,0.6,0.00541918033,0.849012734,0.280119367,0.00128642215,0.00128580792,0.000643010731,0.000150009554,0.0316174247,0.000101636452,1.024,0.599833993,6.18241573e-06,0.0394502842,2.55769727e-10,2.55769727e-10
2.08841326e-10,2.99999998,3.3,2.048,1.02398874,2.048,1.02399744,1.02399744,0.599797731,0.6,0.0055253788,0.849053793,0.285580236,0.00131046182,0.00130983556,0.000655028553,0.000149993134,0.032236926,0.000103450842,1.024,0.599830123,6.30361358e-06,0.0402224994,2.60574607e-10,2.60574607e-10
2.13804149e-10,2.99999998,3.3,2.048,1.02398874,2.048,1.02399744,1.02399744,0.599792953,0.6,0.00565659912,0.849104421,0.292313795,0.00134016838,0.00133952723,0.000669879462,0.000149990929,0.0330023422,0.000105599692,1.024,0.599825346,6.45338823e-06,0.0411761664,2.66513721e-10,2.66513721e-10
2.2068608e-10,2.99999998,3.3,2.048,1.02398874,2.048,1.02399744,1.02399744,0.599786336,0.6,0.0058385184,0.849174418,0.301623484,0.00138135765,0.00138069586,0.000690471026,0.000149991996,0.0340634004,0.000108417478,1.024,0.59981873,6.66106884e-06,0.0424972827,2.74749144e-10,2.74749144e-10
2.2952654e-10,2.99999998,3.3,2.048,1.02398874,2.048,1.02399744,1.02399744,0.599777848,0.6,0.00607213586,0.849263982,0.313535519,0.00143426089,0.0014335726,0.000716919083,0.000149992498,0.0354258417,0.000111778734,1.024,0.599810242,6.92783387e-06,0.0441917484,2.8532685e-10,2.8532685e-10
2.41688052e-10,2.99999998,3.3,2.048,1.02398874,2.048,1.02399744,1.02399744,0.599766192,0.6,0.00639337889,0.849386545,0.329836363,0.00150702321,0.00150629845,0.000753296035,0.000149992528,0.0372990331,0.000115968892,1.024,0.599798586,7.29477789e-06,0.0465164577,2.99875571e-10,2.99875571e-10
2.57368581e-10,2.99999998,3.3,2.048,1.02398874,2.048,1.02399744,1.02399744,0.599751199,0.6,0.00680734287,0.849543472,0.35070768,0.00160081447,0.00160004269,0.000800187443,0.000149992503,0.0397124153,0.000120711434,1.024,0.599783594,7.76784e-06,0.0494967175,3.1862962e-10,3.1862962e-10
2.78584458e-10,2.99999998,3.3,2.048,1.02398874,2.048,1.02399744,1.02399744,0.599730977,0.6,0.00736702197,0.84975384,0.378686664,0.00172766934,0.00172683395,0.000863611361,0.000149992499,0.0429744617,0.000126115782,1.024,0.599763373,8.4077913e-06,0.0534620156,3.43996051e-10,3.43996051e-10
3.05995264e-10,2.99999997,3.3,2.048,1.02398874,2.048,1.02399744,1.02399744,0.599704958,0.6,0.00808941446,0.850022341,0.414397402,0.00189148787,0.00189057029,0.000945519884,0.000149992499,0.0471834332,0.000131687453,1.024,0.599737356,9.2344292e-06,0.058249467,3.76755826e-10,3.76755826e-10
3.37740568e-10,2.99999997,3.3,2.048,1.02398874,2.048,1.02399744,1.02399744,0.599674974,0.6,0.00892504027,0.850328723,0.455146233,0.0020811023,0.00208008956,0.00104033172,0.000149992499,0.0520501293,0.000136578877,1.024,0.599707373,1.01915422e-05,0.0625304307,4.14676887e-10,4.14676887e-10
3.72158341e-10,2.99999997,3.3,2.048,1.02398874,2.048,1.02399744,1.02399744,0.599642641,0.6,0.0098298027,0.85065543,0.498598353,0.0022865474,0.00228543148,0.00114306607,0.000149992499,0.0573170306,0.00014045018,1.024,0.599675041,1.12289439e-05,0.0649572005,4.5576723e-10,4.5576723e-10
4.15243548e-10,2.99999997,3.3,2.048,1.02398874,2.048,1.02399744,1.02399744,0.599602412,0.6,0.0109606396,0.851056545,0.551946728,0.00254353639,0.00254229131,0.00127158561,0.000149992499,0.0638964001,0.000143811133,1.024,0.599634814,1.25271898e-05,0.0658319147,5.07171515e-10,5.07171515e-10
4.55485219e-10,2.99999996,3.3,2.048,1.02398874,2.048,1.02399744,1.02399744,0.599565082,0.6,0.0120150667,0.851423432,0.600742807,0.00278337054,0.00278200484,0.00139153298,0.000149992498,0.0700276178,0.000145892548,1.024,0.599597486,1.37393608e-05,0.0658344423,5.55147027e-10,5.55147027e-10
4.94195725e-10,2.99999996,3.3,2.048,1.02398874,2.048,1.02399744,1.02399744,0.59952939,0.6,0.0130277568,0.851769428,0.646760371,0.00301390239,0.00301242067,0.00150683697,0.000149992498,0.075912881,0.00014723348,1.024,0.599561796,1.49050633e-05,0.0657122926,6.01265423e-10,6.01265423e-10
5.51068244e-10,2.99999995,3.3,2.048,1.02398874,2.048,1.02399744,1.02399744,0.599477339,0.6,0.0145127059,0.852265739,0.712769759,0.00335227986,0.00335062771,0.00167610417,0.000149992498,0.084536897,0.000148481332,1.024,0.599509747,1.66170957e-05,0.0655993016,6.68968959e-10,6.68968959e-10
6.47655782e-10,2.99999995,3.3,2.048,1.02398874,2.048,1.02399744,1.02399744,0.599389972,0.6,0.0170268168,0.853077023,0.820670747,0.00392609604,0.00392415448,0.0019632006,0.000149992498,0.0991221869,0.000149549769,1.024,0.599422385,1.95231604e-05,0.065501504,7.83802876e-10,7.83802876e-10
8.34236615e-10,2.99999993,3.3,2.048,1.02398874,2.048,1.02399744,1.02399744,0.599224791,0.6,0.021855727,0.85453848,1.01504487,0.0050315075,0.00502900703,0.00251647484,0.000149992497,0.127081021,0.000150174577,1.024,0.599257211,2.51320621e-05,0.0653528944,1.0050983e-09,1.0050983e-09
1.01792428e-09,2.99999992,3.3,2.048,1.02398874,2.048,1.02399744,1.02399744,0.599066647,0.6,0.0265743493,0.855850526,1.18954732,0.00611586519,0.00611281468,0.00305949754,0.000149992496,0.154330472,0.00015017049,1.024,0.599099076,3.06484776e-05,0.0652085105,1.2222765e-09,1.2222765e-09
