ref,value,footprint,status,model_note,pins
BT1,C70377,Maxime:BAT-TH_CR2032-BS-6-1,behavioural,coin-cell source with configurable internal resistance,1:+BATT; 2:GNDREF
C1,10uF,JLCPCB:C_0805,electrical,capacitor instantiated from netlist,1:+BATT; 2:GNDREF
C2,10uF,JLCPCB:C_0805,electrical,capacitor instantiated from netlist,1:VDD; 2:GNDREF
C3,100nF,JLCPCB:C_0402,electrical,capacitor instantiated from netlist,1:GNDREF; 2:VDD
C4,100nF,JLCPCB:C_0402,electrical,capacitor instantiated from netlist,1:GNDREF; 2:VDD
C5,100nF,JLCPCB:C_0402,electrical,capacitor instantiated from netlist,1:GNDREF; 2:VDD
C6,100nF,JLCPCB:C_0402,electrical,capacitor instantiated from netlist,1:GNDREF; 2:VDD
C7,100nF,JLCPCB:C_0402,electrical,capacitor instantiated from netlist,1:GNDREF; 2:VDD
C8,100nF,JLCPCB:C_0402,electrical,capacitor instantiated from netlist,1:GNDREF; 2:VDD
C9,10uF,JLCPCB:C_0805,electrical,capacitor instantiated from netlist,1:VDD; 2:GNDREF
C10,22uF,JLCPCB:C_0805,electrical,capacitor instantiated from netlist,1:GNDREF; 2:Net-(U7-VOUT)
C11,1uF,JLCPCB:C_0402,electrical,capacitor instantiated from netlist,1:V_Boost; 2:GNDREF
C12,100nF,JLCPCB:C_0402,electrical,capacitor instantiated from netlist,1:V_Boost; 2:GNDREF
C13,100pF,JLCPCB:C_0402,electrical,capacitor instantiated from netlist,1:Vm_Ext; 2:GNDREF
C14,100nF,JLCPCB:C_0402,electrical,capacitor instantiated from netlist,1:V_Boost; 2:GNDREF
C15,100nF,JLCPCB:C_0402,electrical,capacitor instantiated from netlist,1:VREF_2V048; 2:GNDREF
C16,22nF,JLCPCB:C_0402,electrical,capacitor instantiated from netlist,1:GNDREF; 2:Vm_Display_In
C17,100nF,JLCPCB:C_0402,electrical,capacitor instantiated from netlist,1:VDD; 2:GNDREF
C18,470nF,JLCPCB:C_0603,electrical,capacitor instantiated from netlist,1:Net-(U9-NO); 2:GNDREF
C19,100nF,JLCPCB:C_0402,electrical,capacitor instantiated from netlist,1:VDD; 2:GNDREF
C20,1uF,JLCPCB:C_0603,electrical,capacitor instantiated from netlist,1:Net-(U10-NO); 2:GNDREF
C21,100nF,JLCPCB:C_0402,electrical,capacitor instantiated from netlist,1:VDD; 2:GNDREF
C22,2.2uF,JLCPCB:C_0603,electrical,capacitor instantiated from netlist,1:Net-(U11-NO); 2:GNDREF
C23,100nF,JLCPCB:C_0402,electrical,capacitor instantiated from netlist,1:VDD; 2:GNDREF
