time_s,VDD,V_Boost,VREF_2V048,VREF_1V024,Vm_Int,AP,Spike_Out
9.98e-09,-1.2104307e-06,-3.01075588e-06,-2.05099244e-08,-0.0199674865,-8.92368196e-06,-3.93852672e-09,-4.52259943e-10
9.98625398e-09,-1.14356851e-06,-2.68683259e-06,-2.0506425e-08,-0.01996742,-8.9277208e-06,-3.9406556e-09,-4.5237574e-10
9.99876194e-09,-9.97213418e-07,-2.24073778e-06,-2.04622062e-08,-0.0199672745,-8.93327872e-06,-3.94422106e-09,-4.51784892e-10
1.00237779e-08,-7.42235262e-07,-1.91104563e-06,-2.02167207e-08,-0.0199670211,-8.94077655e-06,-3.94936336e-09,-4.44590149e-10
1.00546507e-08,-5.92260624e-07,-1.95680959e-06,-1.9680396e-08,-0.0199668728,-8.95534511e-06,-3.95488615e-09,-4.24628169e-10
1.00933999e-08,-6.38374325e-07,-2.13852163e-06,-1.87811811e-08,-0.0199669206,-8.98844235e-06,-3.96395477e-09,-3.91598481e-10
1.01367032e-08,-7.99323968e-07,-2.23283003e-06,-1.76802111e-08,-0.0199670832,-9.03685939e-06,-3.97733405e-09,-3.5946175e-10
1.01954914e-08,-9.28519447e-07,-2.20496362e-06,-1.637307e-08,-0.0199672148,-9.10188061e-06,-3.99691593e-09,-3.36537395e-10
1.02605756e-08,-9.18438561e-07,-2.14510757e-06,-1.54728124e-08,-0.0199672077,-9.16447556e-06,-4.01651203e-09,-3.30603453e-10
1.03748492e-08,-8.70673844e-07,-2.13270657e-06,-1.53387454e-08,-0.0199671652,-9.26669847e-06,-4.0483008e-09,-3.31349738e-10
1.04924289e-08,-8.90577151e-07,-2.1472537e-06,-1.62770259e-08,-0.0199671903,-9.37173383e-06,-4.08298088e-09,-3.34430718e-10
1.07213312e-08,-9.34914607e-07,-2.15571951e-06,-1.77133632e-08,-0.0199672449,-9.57116119e-06,-4.15412952e-09,-3.44416531e-10
1.09729352e-08,-9.57373341e-07,-2.17446304e-06,-1.78339459e-08,-0.0199672787,-9.78846443e-06,-4.23313873e-09,-3.56126191e-10
1.12019308e-08,-9.7430764e-07,-2.19332575e-06,-1.75516117e-08,-0.0199673059,-9.99059954e-06,-4.3060992e-09,-3.64841901e-10
1.15480846e-08,-9.86171483e-07,-2.21421829e-06,-1.76769941e-08,-0.0199673333,-1.03003575e-05,-4.41785418e-09,-3.72679187e-10
1.19233431e-08,-1.00132531e-06,-2.23527842e-06,-1.81343207e-08,-0.0199673653,-1.06342998e-05,-4.54051675e-09,-3.78375507e-10
1.25680831e-08,-1.02670785e-06,-2.27229778e-06,-1.87137665e-08,-0.0199674195,-1.12016917e-05,-4.7544783e-09,-3.87651167e-10
1.32355635e-08,-1.0509894e-06,-2.31001652e-06,-1.92247072e-08,-0.0199674735,-1.17884146e-05,-4.98003069e-09,-3.9696219e-10
1.45705242e-08,-1.09724292e-06,-2.38126805e-06,-2.03082191e-08,-0.019967579,-1.2961744e-05,-5.44252873e-09,-4.14675851e-10
1.63781328e-08,-1.15617285e-06,-2.47123422e-06,-2.17700702e-08,-0.0199677176,-1.45436676e-05,-6.09128266e-09,-4.37194107e-10
1.88806134e-08,-1.23104967e-06,-2.58645378e-06,-2.37619311e-08,-0.0199679017,-1.67218973e-05,-7.02800404e-09,-4.65825839e-10
