 9.98000000e-09 -1.21043070e-06  9.98000000e-09 -3.01075588e-06  9.98000000e-09 -2.05099244e-08  9.98000000e-09 -1.99674865e-02  9.98000000e-09 -8.92368196e-06  9.98000000e-09 -3.93852672e-09  9.98000000e-09 -4.52259943e-10 
 9.98625398e-09 -1.14356851e-06  9.98625398e-09 -2.68683259e-06  9.98625398e-09 -2.05064250e-08  9.98625398e-09 -1.99674200e-02  9.98625398e-09 -8.92772080e-06  9.98625398e-09 -3.94065560e-09  9.98625398e-09 -4.52375740e-10 
 9.99876194e-09 -9.97213418e-07  9.99876194e-09 -2.24073778e-06  9.99876194e-09 -2.04622062e-08  9.99876194e-09 -1.99672745e-02  9.99876194e-09 -8.93327872e-06  9.99876194e-09 -3.94422106e-09  9.99876194e-09 -4.51784892e-10 
 1.00237779e-08 -7.42235262e-07  1.00237779e-08 -1.91104563e-06  1.00237779e-08 -2.02167207e-08  1.00237779e-08 -1.99670211e-02  1.00237779e-08 -8.94077655e-06  1.00237779e-08 -3.94936336e-09  1.00237779e-08 -4.44590149e-10 
 1.00546507e-08 -5.92260624e-07  1.00546507e-08 -1.95680959e-06  1.00546507e-08 -1.96803960e-08  1.00546507e-08 -1.99668728e-02  1.00546507e-08 -8.95534511e-06  1.00546507e-08 -3.95488615e-09  1.00546507e-08 -4.24628169e-10 
 1.00933999e-08 -6.38374325e-07  1.00933999e-08 -2.13852163e-06  1.00933999e-08 -1.87811811e-08  1.00933999e-08 -1.99669206e-02  1.00933999e-08 -8.98844235e-06  1.00933999e-08 -3.96395477e-09  1.00933999e-08 -3.91598481e-10 
 1.01367032e-08 -7.99323968e-07  1.01367032e-08 -2.23283003e-06  1.01367032e-08 -1.76802111e-08  1.01367032e-08 -1.99670832e-02  1.01367032e-08 -9.03685939e-06  1.01367032e-08 -3.97733405e-09  1.01367032e-08 -3.59461750e-10 
 1.01954914e-08 -9.28519447e-07  1.01954914e-08 -2.20496362e-06  1.01954914e-08 -1.63730700e-08  1.01954914e-08 -1.99672148e-02  1.01954914e-08 -9.10188061e-06  1.01954914e-08 -3.99691593e-09  1.01954914e-08 -3.36537395e-10 
 1.02605756e-08 -9.18438561e-07  1.02605756e-08 -2.14510757e-06  1.02605756e-08 -1.54728124e-08  1.02605756e-08 -1.99672077e-02  1.02605756e-08 -9.16447556e-06  1.02605756e-08 -4.01651203e-09  1.02605756e-08 -3.30603453e-10 
 1.03748492e-08 -8.70673844e-07  1.03748492e-08 -2.13270657e-06  1.03748492e-08 -1.53387454e-08  1.03748492e-08 -1.99671652e-02  1.03748492e-08 -9.26669847e-06  1.03748492e-08 -4.04830080e-09  1.03748492e-08 -3.31349738e-10 
 1.04924289e-08 -8.90577151e-07  1.04924289e-08 -2.14725370e-06  1.04924289e-08 -1.62770259e-08  1.04924289e-08 -1.99671903e-02  1.04924289e-08 -9.37173383e-06  1.04924289e-08 -4.08298088e-09  1.04924289e-08 -3.34430718e-10 
 1.07213312e-08 -9.34914607e-07  1.07213312e-08 -2.15571951e-06  1.07213312e-08 -1.77133632e-08  1.07213312e-08 -1.99672449e-02  1.07213312e-08 -9.57116119e-06  1.07213312e-08 -4.15412952e-09  1.07213312e-08 -3.44416531e-10 
