time_s,VDD,V_Boost,VREF_2V048,VREF_1V024,V_Leak,Vm_Int,V_Threshold,AP,Spike_Pulse,Peak_Window,Reset_Window,Vm_Display_In,Vm_Ext,Spike_Out,V_Syn_State,/V_Syn_Drive,V_Stim_Cmd,V_Stim_Drive,Vsel,S0,S1,S2,S3,S4,Vw,Vw_buff,/Vkick,/Adapt_Kick_Drive,/Rising_AP,/AP_Gate,V_Reset_Ref,/Reset_Injection_Drive,/Reset_Gated_Drive,V_Peak_Drive,V_Syn1_Set,V_Syn2_Set,V_Syn3_Set,V_Syn4_Set
9.98e-09,0.000544412764,-3.00922445e-06,-1.99504253e-08,-0.0194227809,0.000512853374,1.38412913e-05,-0.0160634053,1.55205625e-06,7.74957218e-07,9.79531929e-06,0.000172767977,-3.95165859e-07,-0.00559425855,2.03411963e-07,-5.18977061e-08,0.00051948074,-6.57653984e-06,-0.0194434764,5.44412686e-05,2.60345319e-05,1.36405931e-05,1.40227384e-05,1.45581583e-05,2.73995535e-05,1.04133339e-08,0.000512721729,0.000508414653,0.000508438608,1.55042537e-06,7.28476614e-05,-0.000308759895,0.0005073641,0.000412351165,0.000511133578,0.000488525454,0.000488525454,0.000488525454,0.000488525454
9.98455349e-09,0.000521213343,-2.04810044e-05,-1.99732195e-08,-0.0194459409,0.000512773409,1.34131718e-05,-0.01608256,1.55267357e-06,7.75310058e-07,9.79959155e-06,0.000172799348,-2.59187352e-06,-0.00559702203,2.03472305e-07,-8.56625798e-08,0.000518521152,-6.58411562e-06,-0.0194666615,5.21213268e-05,2.60458767e-05,1.3646544e-05,1.40288562e-05,1.45645096e-05,2.74114931e-05,9.83988922e-09,0.000512641837,0.000508643362,0.000508362004,1.55113128e-06,7.28789528e-05,-0.000308900943,0.000507357259,0.000412417181,0.000511054457,0.000488669927,0.000488669927,0.000488669927,0.000488669927
9.99366046e-09,0.000464078557,-5.27814702e-05,-2.00626786e-08,-0.0195029786,0.000511668312,1.16403597e-05,-0.0161297336,1.55368495e-06,7.76010281e-07,9.80754992e-06,0.000172677285,-1.09751814e-05,-0.00560287719,2.03416437e-07,-1.0970034e-07,0.000513372536,-6.59381603e-06,-0.0195237615,4.64078491e-05,2.60669888e-05,1.36576401e-05,1.40402634e-05,1.45763519e-05,2.74337121e-05,3.30218242e-09,0.000511537073,0.000509071338,0.000507279821,1.5525322e-06,7.29357857e-05,-0.000309183551,0.000506684853,0.000412073477,0.00050995299,0.000488725315,0.000488725315,0.000488725315,0.000488725315
9.99862882e-09,0.000427682073,-6.75621436e-05,-2.01426804e-08,-0.0195393132,0.00051041865,1.01564729e-05,-0.0161597846,1.55409653e-06,7.76386986e-07,9.81148225e-06,0.000172475098,-1.7596498e-05,-0.00560617756,2.03231832e-07,-1.17534953e-07,0.000508464013,-6.59811555e-06,-0.0195601359,4.27682011e-05,2.60774074e-05,1.3663132e-05,1.40459095e-05,1.45822131e-05,2.74446769e-05,-6.08596668e-09,0.00051028766,0.000509273364,0.000506055873,1.55328586e-06,7.29627847e-05,-0.000309338087,0.000505879514,0.000411536903,0.000508705761,0.000488588129,0.000488588129,0.000488588129,0.000488588129
1.00066683e-08,0.000365583501,-8.40751546e-05,-2.0326933e-08,-0.0196013062,0.000507292827,7.16450683e-06,-0.0162110567,1.5545565e-06,7.76981389e-07,9.81711882e-06,0.000171901503,-3.02193972e-05,-0.00561131004,2.02563157e-07,-1.226192e-07,0.000497288432,-6.60402493e-06,-0.0196221972,3.65583449e-05,2.60923194e-05,1.3671024e-05,1.40540234e-05,1.45906357e-05,2.74603706e-05,-4.09582647e-08,0.000507162317,0.000509495362,0.000503012438,1.55447508e-06,7.29993782e-05,-0.00030958878,0.000503846811,0.000410034303,0.000505583955,0.000488067777,0.000488067777,0.000488067777,0.000488067777
1.00136858e-08,0.000311392125,-9.03592035e-05,-2.05424975e-08,-0.0196554055,0.000503455794,4.16789431e-06,-0.0162558003,1.55477504e-06,7.77478219e-07,9.82128206e-06,0.000171145723,-4.21691123e-05,-0.00561526385,2.01511589e-07,-1.2170151e-07,0.000484603431,-6.60838545e-06,-0.0196763562,3.1139208e-05,2.6103309e-05,1.36768773e-05,1.40600415e-05,1.45968824e-05,2.74719363e-05,-1.03509888e-07,0.000503325785,0.000509519131,0.000499313454,1.5554691e-06,7.30239347e-05,-0.000309808266,0.00050134379,0.000408066088,0.000501750478,0.000487304954,0.000487304954,0.000487304954,0.000487304954
1.00213819e-08,0.000255733469,-8.86514519e-05,-2.08306368e-08,-0.0197109696,0.000498071947,7.41372157e-07,-0.0163017554,1.55486222e-06,7.77990457e-07,9.82506224e-06,0.000170043381,-5.515001e-05,-0.00561873513,1.99767066e-07,-1.15604545e-07,0.000468018592,-6.61241117e-06,-0.0197319819,2.55733432e-05,2.61132606e-05,1.36822231e-05,1.40655384e-05,1.46025873e-05,2.74824094e-05,-2.25539345e-07,0.00049794273,0.000509263378,0.000494193882,1.55649397e-06,7.30432108e-05,-0.00031004966,0.000497816533,0.000405203638,0.000496372047,0.000486132705,0.000486132705,0.000486132705,0.000486132705
1.00283092e-08,0.000211540101,-8.01389097e-05,-2.11264766e-08,-0.0197550879,0.000492352226,-2.2635529e-06,-0.0163382442,1.55484508e-06,7.78414919e-07,9.82782136e-06,0.000168832297,-6.59559148e-05,-0.00562098057,1.97624422e-07,-1.06239979e-07,0.000451548542,-6.61549574e-06,-0.0197761492,2.1154007e-05,2.61204974e-05,1.36861559e-05,1.40695826e-05,1.46067841e-05,2.74900255e-05,-4.00821245e-07,0.000492223856,0.00050868825,0.000488846782,1.55734325e-06,7.30542928e-05,-0.000310267498,0.000494065614,0.000402063872,0.000490657839,0.000484812319,0.000484812319,0.000484812319,0.000484812319
1.00344225e-08,0.000178654928,-6.79859416e-05,-2.14068265e-08,-0.0197879173,0.000486763707,-4.71873429e-06,-0.0163653962,1.55478668e-06,7.78755401e-07,9.82981481e-06,0.000167620071,-7.4330242e-05,-0.005622304,1.95272095e-07,-9.57627155e-08,0.00043643227,-6.6179132e-06,-0.0198090151,1.78654902e-05,2.61257029e-05,1.3689023e-05,1.40725314e-05,1.46098435e-05,2.74955037e-05,-6.20956843e-07,0.000486636167,0.000507835289,0.000483720689,1.55802452e-06,7.30597697e-05,-0.000310460122,0.000490393467,0.000398923932,0.000485074554,0.000483469939,0.000483469939,0.000483469939,0.000483469939
1.00401782e-08,0.000153765442,-5.34323951e-05,-2.16784191e-08,-0.0198127646,0.000481169567,-6.77111058e-06,-0.0163859466,1.55472043e-06,7.79042828e-07,9.8313786e-06,0.000166383019,-8.09210934e-05,-0.00562310511,1.92670418e-07,-8.46559517e-08,0.000422206313,-6.62002787e-06,-0.0198338902,1.5376542e-05,2.61297655e-05,1.3691294e-05,1.40748675e-05,1.46122668e-05,2.74997791e-05,-8.95632473e-07,0.000481042871,0.000506675302,0.000478698846,1.55859967e-06,7.30618722e-05,-0.000310641751,0.000486706245,0.000395721389,0.000479485658,0.000482084096,0.000482084096,0.000482084096,0.000482084096
1.00466644e-08,0.000133289843,-3.45826812e-05,-2.19819007e-08,-0.0198332056,0.000474644901,-8.70153897e-06,-0.0164028527,1.55466175e-06,7.79324319e-07,9.83286571e-06,0.000164912846,-8.66021957e-05,-0.00562373804,1.89320796e-07,-7.14632012e-08,0.000406750073,-6.6223392e-06,-0.0198543541,1.33289823e-05,2.61336057e-05,1.36934763e-05,1.40771124e-05,1.46145952e-05,2.75038203e-05,-1.29609738e-06,0.000474519218,0.000504883867,0.000473002967,1.55916299e-06,7.30615533e-05,-0.00031084667,0.000482386304,0.000391916678,0.000472967309,0.000480420005,0.000480420005,0.000480420005,0.000480420005
1.00526186e-08,0.000121613278,-1.60024219e-05,-2.22484218e-08,-0.0198448626,0.000468588603,-1.00725882e-05,-0.0164124938,1.55464437e-06,7.79540739e-07,9.83405227e-06,0.000163522363,-9.00784184e-05,-0.0056243332,1.85898695e-07,-5.93239081e-08,0.000393521318,-6.62448352e-06,-0.0198660241,1.21613261e-05,2.61366506e-05,1.36952341e-05,1.40789211e-05,1.46164707e-05,2.75070247e-05,-1.75740692e-06,0.000468463901,0.000502736473,0.000467896194,1.55959613e-06,7.30595113e-05,-0.000311034933,0.00047835328,0.000388318997,0.000466917228,0.00047883106,0.00047883106,0.00047883106,0.00047883106
1.00596738e-08,0.000116196109,6.21334525e-06,-2.25362342e-08,-0.0198502709,0.000461517162,-1.11705514e-05,-0.0164169669,1.55469447e-06,7.79743154e-07,9.83534696e-06,0.000161865909,-9.20127199e-05,-0.00562546257,1.81492308e-07,-4.56636507e-08,0.000379534984,-6.62716325e-06,-0.0198714386,1.16196093e-05,2.61399566e-05,1.36971627e-05,1.40809056e-05,1.46185283e-05,2.75105038e-05,-2.42912034e-06,0.000461393672,0.000499511667,0.000462200777,1.56000133e-06,7.3055993e-05,-0.000311258099,0.000473607835,0.000384033581,0.000459853707,0.000476919867,0.000476919867,0.000476919867,0.000476919867
1.00666171e-08,0.000118942245,2.70331706e-05,-2.27781829e-08,-0.0198475298,0.000454837098,-1.16965942e-05,-0.0164146998,1.55483777e-06,7.79884825e-07,9.83660695e-06,0.000160265184,-9.16935185e-05,-0.00562739928,1.76876686e-07,-3.3616217e-08,0.000367931736,-6.6300378e-06,-0.0198686946,1.18942228e-05,2.61431669e-05,1.36990386e-05,1.40828359e-05,1.46205297e-05,2.75138821e-05,-3.22682523e-06,0.000454714841,0.000495581603,0.000457148042,1.56028503e-06,7.30523732e-05,-0.000311477733,0.000469078199,0.000379892305,0.000453182038,0.00047505315,0.00047505315,0.00047505315,0.00047505315
1.00747994e-08,0.000130732472,4.87034495e-05,-2.29967494e-08,-0.0198357601,0.000447524713,-1.1658996e-05,-0.0164049655,1.55514373e-06,7.79980748e-07,9.83820689e-06,0.000158465461,-8.87746402e-05,-0.00563113338,1.71230472e-07,-2.18833574e-08,0.000357343235,-6.63382269e-06,-0.0198569119,1.30732453e-05,2.61472496e-05,1.37014023e-05,1.4085268e-05,1.46230516e-05,2.75181785e-05,-4.33787963e-06,0.000447403936,0.000489974861,0.000452094301,1.5604773e-06,7.30492001e-05,-0.000311736453,0.000464047575,0.000375235505,0.000445880287,0.00047292757,0.00047292757,0.00047292757,0.00047292757
