time_s,VDD,V_Boost,VREF_2V048,VREF_1V024,V_Leak,Vm_Int,V_Threshold,AP,Spike_Pulse,Peak_Window,Reset_Window,Vm_Display_In,Vm_Ext,Spike_Out,V_Syn_State,/V_Syn_Drive,V_Stim_Cmd,V_Stim_Drive,Vsel,S0,S1,S2,S3,S4,Vw,Vw_buff,/Vkick,/Adapt_Kick_Drive,/Rising_AP,/AP_Gate,V_Reset_Ref,/Reset_Injection_Drive,/Reset_Gated_Drive,V_Peak_Drive,V_Syn1_Set,V_Syn2_Set,V_Syn3_Set,V_Syn4_Set
9.98e-09,0.000544385219,-3.00922453e-06,-1.9950825e-08,-0.0194228071,0.000512661323,3.72769146e-05,-0.016063427,8.74586039e-07,4.35208093e-07,9.79431085e-06,0.000174096718,1.50776225e-07,-0.00559417185,2.03395643e-07,-5.18984142e-08,0.000519472393,-6.57240395e-06,-0.0194434909,5.4438514e-05,2.60332146e-05,1.36399029e-05,1.40220289e-05,1.45574217e-05,2.73981672e-05,1.06231051e-08,0.000512696923,0.000508294435,0.000508318829,8.7047482e-07,7.28432848e-05,-0.000308762785,0.000507333541,0.000417683646,0.000511121388,0.000488464735,0.000488464735,0.000488464735,0.000488464735
9.98455353e-09,0.000522840416,-1.92326385e-05,-1.99720365e-08,-0.0194443153,0.000512604188,3.68540123e-05,-0.0160812156,8.74900631e-07,4.35406073e-07,9.79859686e-06,0.000174132109,-2.04243718e-06,-0.00559690352,2.03458359e-07,-8.17929809e-08,0.000518599729,-6.57945763e-06,-0.0194650225,5.2284034e-05,2.60445969e-05,1.3645873e-05,1.40281664e-05,1.45637934e-05,2.74101462e-05,1.00950029e-08,0.000512639778,0.000508523378,0.000508264899,8.70870806e-07,7.28747131e-05,-0.000308903823,0.000507344365,0.000417760871,0.000511064995,0.000488614785,0.000488614785,0.000488614785,0.000488614785
9.99366059e-09,0.000472471547,-4.72944933e-05,-2.00507362e-08,-0.0194945986,0.000511658514,3.50678138e-05,-0.0161228028,8.75334792e-07,4.3579832e-07,9.80665247e-06,0.000174038557,-1.03586539e-05,-0.00560258375,2.0342539e-07,-9.87544884e-08,0.000514018091,-6.58815441e-06,-0.0195153608,4.72471479e-05,2.60659709e-05,1.36571029e-05,1.40397111e-05,1.45757786e-05,2.74326408e-05,4.18264427e-09,0.000511694086,0.000508955028,0.00050734071,8.71655349e-07,7.29324998e-05,-0.00030918635,0.000506790209,0.000417492251,0.000510122533,0.000488710667,0.000488710667,0.000488710667,0.000488710667
9.9992813e-09,0.00043720199,-6.07341401e-05,-2.01295549e-08,-0.0195298083,0.000510407437,3.332923e-05,-0.0161519234,8.75461386e-07,4.36036183e-07,9.81120028e-06,0.000173838819,-1.78392382e-05,-0.00560612375,2.03238154e-07,-1.04970782e-07,0.000509047785,-6.59264459e-06,-0.0195506092,4.37201927e-05,2.60780234e-05,1.36634518e-05,1.40462382e-05,1.45825544e-05,2.74453252e-05,-6.01576793e-09,0.00051044303,0.000509186471,0.000506117769,8.72131107e-07,7.29640128e-05,-0.00030936109,0.000505999195,0.00041696088,0.000508873866,0.000488597022,0.000488597022,0.000488597022,0.000488597022
1.00077333e-08,0.000381867469,-7.35832576e-05,-2.02974171e-08,-0.0195850488,0.000507464489,2.99835355e-05,-0.0161976107,8.75460386e-07,4.36383183e-07,9.81733625e-06,0.00017329902,-3.11885806e-05,-0.00561113628,2.02582271e-07,-1.08473263e-07,0.000498524979,-6.59861224e-06,-0.0196059108,3.81867414e-05,2.60942626e-05,1.3672036e-05,1.40550636e-05,1.45917158e-05,2.74624157e-05,-4.23305839e-08,0.000507500201,0.00050942397,0.000503260812,8.72825153e-07,7.30045311e-05,-0.000309624465,0.000504111058,0.000415545411,0.000505934587,0.00048813792,0.00048813792,0.00048813792,0.00048813792
1.00153171e-08,0.000332344489,-7.77825313e-05,-2.0497394e-08,-0.0196344877,0.000503752775,2.64614687e-05,-0.0162384998,8.75290447e-07,4.36679383e-07,9.82210418e-06,0.000172566288,-4.42317269e-05,-0.0056150477,2.01516577e-07,-1.08033764e-07,0.000486337044,-6.6034297e-06,-0.0196554047,3.32344441e-05,2.6106856e-05,1.36787279e-05,1.40619439e-05,1.45988575e-05,2.74756693e-05,-1.09936532e-07,0.0005037887,0.000509453722,0.000499698685,8.73417596e-07,7.30336799e-05,-0.000309861426,0.000501713285,0.000413635961,0.00050222617,0.000487425544,0.000487425544,0.000487425544,0.000487425544
1.00235016e-08,0.000281724837,-7.53269086e-05,-2.0759364e-08,-0.0196850215,0.000498620276,2.23922303e-05,-0.0162802945,8.7496677e-07,4.3697768e-07,9.82648705e-06,0.000171512068,-5.83270822e-05,-0.00561846353,1.99774524e-07,-1.04092804e-07,0.000470919067,-6.6081255e-06,-0.0197059949,2.81724797e-05,2.61184045e-05,1.36849064e-05,1.40682967e-05,1.46054511e-05,2.74878231e-05,-2.40330683e-07,0.000498656553,0.000509185938,0.000494849687,8.74014235e-07,7.30576955e-05,-0.000310117819,0.000498373579,0.000410897121,0.000497098756,0.000486347847,0.000486347847,0.000486347847,0.000486347847
1.00313005e-08,0.000238254685,-6.72723177e-05,-2.10441424e-08,-0.0197284179,0.000492814911,1.84972306e-05,-0.0163161861,8.74561475e-07,4.37236556e-07,9.8299803e-06,0.000170278373,-7.0962139e-05,-0.00562095045,1.97497243e-07,-9.77109615e-08,0.000454519016,-6.6122081e-06,-0.01974944,2.3825465e-05,2.61275792e-05,1.3689859e-05,1.40733894e-05,1.46107363e-05,2.74974786e-05,-4.41139755e-07,0.000492851638,0.000508530827,0.000489472203,8.74532032e-07,7.30739125e-05,-0.000310362729,0.000494582009,0.000407697558,0.000491298728,0.000485030079,0.000485030079,0.000485030079,0.000485030079
1.00382683e-08,0.000204587957,-5.63025879e-05,-2.13181988e-08,-0.0197620276,0.00048701996,1.51700856e-05,-0.0163439836,8.74150087e-07,4.37443425e-07,9.8325987e-06,0.000169015917,-8.10871002e-05,-0.00562267474,1.94942351e-07,-9.01864008e-08,0.00043917706,-6.61561859e-06,-0.0197830875,2.04587928e-05,2.61344291e-05,1.36935954e-05,1.4077232e-05,1.46147235e-05,2.75046874e-05,-7.00964504e-07,0.000487057171,0.000507524189,0.000484223979,8.74945808e-07,7.30834931e-05,-0.000310581972,0.000490780587,0.000404426641,0.000485508858,0.000483648504,0.000483648504,0.000483648504,0.000483648504
1.00448349e-08,0.000178059646,-4.35464926e-05,-2.15845102e-08,-0.0197885111,0.000481165001,1.22843828e-05,-0.0163658871,8.73744823e-07,4.37614686e-07,9.83469529e-06,0.000167714999,-8.92988728e-05,-0.00562407123,1.92095623e-07,-8.20622155e-08,0.000424655539,-6.61870015e-06,-0.0198096008,1.7805962e-05,2.61398887e-05,1.36966079e-05,1.40803303e-05,1.46179381e-05,2.7510433e-05,-1.02935195e-06,0.000481202727,0.000506135617,0.000479054264,8.75288368e-07,7.30888942e-05,-0.000310788916,0.000486919794,0.000401058105,0.000479658981,0.000482200956,0.000482200956,0.000482200956,0.000482200956
