time_s,VDD,V_Boost,VREF_2V048,VREF_1V024,V_Leak,Vm_Int,V_Threshold,AP,Spike_Pulse,Peak_Window,Reset_Window,Vm_Display_In,Vm_Ext,Spike_Out,V_Syn_State,/V_Syn_Drive,V_Stim_Cmd,V_Stim_Drive,Vsel,S0,S1,S2,S3,S4,Vw,Vw_buff,/Vkick,/Adapt_Kick_Drive,/Rising_AP,/AP_Gate,V_Reset_Ref,/Reset_Injection_Drive,/Reset_Gated_Drive,V_Peak_Drive,V_Syn1_Set,V_Syn2_Set,V_Syn3_Set,V_Syn4_Set
9.98e-09,0.000544415276,-3.00922444e-06,-1.99504111e-08,-0.0194227785,0.000512680088,1.21873699e-05,-0.0160634033,1.67331907e-06,8.35612474e-07,9.79605748e-06,0.000171482454,-4.36919662e-07,-0.00559436148,2.03420067e-07,-5.18971434e-08,0.000519486929,-6.57697131e-06,-0.0194434748,5.44415198e-05,2.6034652e-05,1.3640656e-05,1.40228031e-05,1.45582255e-05,2.73996799e-05,1.02175835e-08,0.000512735858,0.000508517206,0.000508540752,1.67193238e-06,7.28480698e-05,-0.000308759781,0.000507432202,0.000407932819,0.00051114874,0.000488578415,0.000488578415,0.000488578415,0.000488578415
9.98455348e-09,0.000520966541,-2.06691019e-05,-1.99734433e-08,-0.0194461874,0.000512596299,1.17593906e-05,-0.0160827639,1.67399065e-06,8.35992961e-07,9.80032779e-06,0.000171512747,-2.63345959e-06,-0.00559713045,2.0347995e-07,-8.62461801e-08,0.00051851244,-6.58462568e-06,-0.0194669091,5.20966466e-05,2.60459911e-05,1.36466041e-05,1.40289179e-05,1.45645736e-05,2.74116135e-05,9.63392907e-09,0.000512652048,0.00050874587,0.000508460219,1.67269368e-06,7.28793404e-05,-0.000308900831,0.000507422128,0.000407995558,0.000511065708,0.000488721946,0.000488721946,0.000488721946,0.000488721946
9.99366045e-09,0.000462805483,-5.36131018e-05,-2.00645314e-08,-0.0195042496,0.00051146499,9.99039175e-06,-0.0161307848,1.67510552e-06,8.36748157e-07,9.80827098e-06,0.000171385606,-1.10232028e-05,-0.00560301434,2.03419857e-07,-1.11366759e-07,0.000513269969,-6.59447897e-06,-0.0195250347,4.62805416e-05,2.60670635e-05,1.36576799e-05,1.40403043e-05,1.45763943e-05,2.74337907e-05,2.96336122e-09,0.000511520674,0.000509172811,0.000507351491,1.67420472e-06,7.29360287e-05,-0.000309183452,0.000506728577,0.000407637778,0.000509937649,0.000488770548,0.000488770548,0.000488770548,0.000488770548
9.99856424e-09,0.000426121635,-6.86125038e-05,-2.01450536e-08,-0.0195408711,0.000510207255,8.53344477e-06,-0.016161073,1.67556437e-06,8.37149277e-07,9.81213785e-06,0.000171181766,-1.75573994e-05,-0.00560629769,2.03233535e-07,-1.19388446e-07,0.000508339586,-6.59876408e-06,-0.0195616963,4.26121574e-05,2.60773102e-05,1.36630817e-05,1.40458578e-05,1.45821594e-05,2.74445746e-05,-6.43654813e-09,0.000510262921,0.000509370966,0.000506118958,1.6750073e-06,7.29625436e-05,-0.000309335992,0.000505914171,0.00040709662,0.000508682068,0.000488628828,0.000488628828,0.000488628828,0.000488628828
1.00065464e-08,0.000363112908,-8.55954695e-05,-2.03316421e-08,-0.0196037727,0.000507048631,5.58903997e-06,-0.0162130966,1.67610141e-06,8.37786241e-07,9.8177012e-06,0.000170602809,-3.00701496e-05,-0.00561144521,2.02559314e-07,-1.24643069e-07,0.000497053359,-6.60465738e-06,-0.0196246671,3.63112855e-05,2.60920331e-05,1.36708752e-05,1.40538704e-05,1.45904769e-05,2.74600694e-05,-4.14089564e-08,0.000507104338,0.000509587464,0.000503041888,1.6762818e-06,7.29985752e-05,-0.000309584924,0.000503851939,0.000405579536,0.00050552703,0.000488097809,0.000488097809,0.000488097809,0.000488097809
1.00135545e-08,0.00030785858,-9.21395953e-05,-2.05514947e-08,-0.0196589331,0.000503147347,2.63309766e-06,-0.0162587178,1.67638365e-06,8.38321913e-07,9.82181616e-06,0.000169835781,-4.19657738e-05,-0.00561543446,2.01492646e-07,-1.23546357e-07,0.000484157483,-6.60898276e-06,-0.0196798884,3.07858535e-05,2.61029018e-05,1.36766663e-05,1.40598247e-05,1.45966572e-05,2.74715077e-05,-1.04598051e-07,0.000503203173,0.000509603613,0.000499278743,1.67735364e-06,7.30227116e-05,-0.000309804151,0.000501298022,0.000403581646,0.000501628953,0.000487317661,0.000487317661,0.000487317661,0.000487317661
1.00211293e-08,0.000252063342,-9.04409123e-05,-2.08410302e-08,-0.0197146335,0.000497757658,-6.84570456e-07,-0.0163047857,1.67653292e-06,8.38866539e-07,9.82548131e-06,0.000168734775,-5.46713929e-05,-0.0056188771,1.99751622e-07,-1.17057831e-07,0.000467542157,-6.61287011e-06,-0.0197356505,2.52063305e-05,2.61125599e-05,1.36818581e-05,1.40651631e-05,1.46021977e-05,2.7481672e-05,-2.25760402e-07,0.000497813701,0.000509339056,0.000494149222,1.67844343e-06,7.30411864e-05,-0.000310041786,0.000497755616,0.000400722219,0.000496244084,0.000486139709,0.000486139709,0.000486139709,0.000486139709
1.00279911e-08,0.000207660986,-8.17276088e-05,-2.11398596e-08,-0.0197589605,0.0004920053,-3.5976435e-06,-0.016341447,1.6765698e-06,8.39321127e-07,9.82816108e-06,0.000167519834,-6.52767876e-05,-0.00562109759,1.9760373e-07,-1.07151123e-07,0.000450958896,-6.61583153e-06,-0.0197800266,2.07660956e-05,2.61195992e-05,1.36856877e-05,1.40691014e-05,1.46062844e-05,2.74890802e-05,-4.00447962e-07,0.000492061613,0.000508753298,0.000488765417,1.67935309e-06,7.30516935e-05,-0.000310257608,0.000493972285,0.000397572013,0.000490496676,0.000484808546,0.000484808546,0.000484808546,0.000484808546
1.00340294e-08,0.000174918452,-6.92711516e-05,-2.14219753e-08,-0.0197916475,0.000486408307,-5.95722152e-06,-0.0163684813,1.67655738e-06,8.39685006e-07,9.83008223e-06,0.000166308851,-7.34305412e-05,-0.00562237012,1.9525427e-07,-9.61491285e-08,0.00043580041,-6.61812314e-06,-0.0198127499,1.74918427e-05,2.61246264e-05,1.36884611e-05,1.40719539e-05,1.46092439e-05,2.74943708e-05,-6.18975554e-07,0.000486464906,0.00050789197,0.000483624239,1.68008128e-06,7.30566867e-05,-0.000310447907,0.00049028466,0.00039443488,0.00048490438,0.000483461767,0.000483461767,0.000483461767,0.000483461767
1.00397076e-08,0.000150376875,-5.43493046e-05,-2.16946514e-08,-0.0198161475,0.000480820853,-7.91402756e-06,-0.0163887445,1.67653364e-06,8.39992141e-07,9.83158206e-06,0.000165076438,-7.97968683e-05,-0.00562309755,1.92661438e-07,-8.45421101e-08,0.000421572619,-6.62011452e-06,-0.0198372772,1.50376854e-05,2.61285336e-05,1.36906501e-05,1.40742055e-05,1.46115796e-05,2.74984826e-05,-8.90953258e-07,0.000480877754,0.000506726097,0.000478599647,1.68069596e-06,7.30583942e-05,-0.000310627123,0.00048659262,0.000391243937,0.000479321635,0.000482075843,0.000482075843,0.000482075843,0.000482075843
