reference,value,category,model_note,model_confidence,simulation_status,functional_block
BT1,"type=""R"" model=""Battery_Cell"" lib=""""",datasheet-derived electrical model,CR2032 fixed-source or dynamic equivalent; exact cell manufacturer unresolved,medium,CR2032 fixed-source or dynamic equivalent; exact cell manufacturer unresolved,power and precision references
C1,10uF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",power and precision references
C2,10uF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",local decoupling
C3,100nF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",local decoupling
C4,100nF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",local decoupling
C5,100nF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",local decoupling
C6,100nF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",local decoupling
C7,100nF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",local decoupling
C8,100nF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",local decoupling
C9,10uF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",local decoupling
C10,22uF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",miscellaneous schematic support
C11,1uF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",power and precision references
C12,100nF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",power and precision references
C13,100pF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",external membrane display/output
C14,100nF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",power and precision references
C15,100nF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",power and precision references
C16,22nF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",external membrane display/output
C17,100nF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",local decoupling
C18,470nF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",membrane capacitance selector
C19,100nF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",local decoupling
C20,1uF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",membrane capacitance selector
C21,100nF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",local decoupling
C22,2.2uF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",membrane capacitance selector
C23,100nF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",local decoupling
C24,4.7uF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",membrane capacitance selector
C25,100nF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",local decoupling
C26,10uF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",membrane capacitance selector
C27,100nF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",local decoupling
C28,100pF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",membrane leak and integration
C29,1uF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",adaptation
C30,10uF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",adaptation
C31,10nF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating","threshold, AP, peak, reset and spike output"
C32,100nF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",local decoupling
C33,1uF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",miscellaneous schematic support
C34,100nF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",local decoupling
C35,100nF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",local decoupling
C36,100nF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",local decoupling
C37,100nF,ordinary passive instantiated directly,"capacitor with ESR, leakage, ESL and optional DC-bias derating",medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating",local decoupling
