value,references,category,manufacturer,exact_part,selected_path,selected_sha256,subcircuit_name,subcircuit_terminals,model_status,confidence,notes,source_page,package_name,model_version_date,wrapper_required,simulator,encrypted,ngspice_compatibility,redistribution
MCP6004T-I/ST,U1;U2;U3,official vendor SPICE model,Microchip Technology,MCP6004T-I/ST,models\compatible\MCP6001_ngspice.lib,982f2bf0b7d801135bb665831d4e3c2053b3ff0ff6a19948eabf69fe772ffdd6,MCP6001,1 2 3 4 5,installed vendor/model source,high,Inspected .SUBCKT at MCP6001_ngspice.lib:5.,https://www.microchip.com/en-us/application-notes/an1297,MCP6001/2/4 PSpice macromodel,REV G; supplied file revision history includes dated revisions through 2012 and a later syntax-fix entry without a date,quad package split into four MCP6001 instances using physical MCP6004 pins,PSpice,False,Official PSpice model preserved unchanged; hybrid/portable decks use a checksum-tracked ngspice syntax-normalised copy with only the R61 TC instance syntax translated.,Microchip model licence in file; use is restricted to Microchip products.
TLV7044PWR,U4;U5;U6,official vendor SPICE model,Texas Instruments,TLV7044PWR,,,,,portable fallback,medium,Official package is not installed/verified; using documented portable model.,https://www.ti.com/product/TLV7044#design-development,SLVMDH0.ZIP,SLVMDH0 package; revision/date not encoded in the public package identifier,physical PW-14 pin mapper; each comparator channel is instantiated independently if the vendor model is single-channel,PSpice,False,Must be established by inspecting and smoke-testing the downloaded package.,TI evaluation-item terms apply; do not commit downloaded package unless redistribution is confirmed.
TLV7031DCKR,U19,official vendor SPICE model,Texas Instruments,TLV7031DCKR,,,,,portable fallback,medium,Official package is not installed/verified; using documented portable model.,https://www.ti.com/product/TLV7031#design-development,SLVMDG0A.ZIP,"SLVMDG0A, Rev. A","DCK physical pins 1 OUT, 2 GND, 3 IN+, 4 IN-, 5 V+",PSpice,False,Must be established by actual package inspection and smoke test.,TI evaluation-item terms apply.
TLV9001IDBVR,U22;U8,official vendor SPICE model,Texas Instruments,TLV9001IDBVR,,,,,portable fallback,medium,Official package is not installed/verified; using documented portable model.,https://www.ti.com/product/TLV9001#design-development,"SBOMAL2D.ZIP (TLV9002 PSpice model, Rev. D)","SBOMAL2D, Rev. D","DBV physical pins 1 OUT, 2 V-, 3 IN+, 4 IN-, 5 V+",PSpice,False,The public package is for TLV9002; adapter and channel extraction must be verified.,TI evaluation-item terms apply.
TLV9041IDBVR,U23,official vendor SPICE model,Texas Instruments,TLV9041IDBVR,,,,,portable fallback,medium,Official package is not installed/verified; using documented portable model.,https://www.ti.com/product/TLV9041#design-development,"SBOMB62B.ZIP (TLV904x PSpice model, Rev. B)","SBOMB62B, Rev. B","normal TLV9041 DBV-5 physical pins 1 OUT, 2 V-, 3 IN+, 4 IN-, 5 V+; not the U variant",PSpice,False,Must be established by actual package inspection and smoke test.,TI evaluation-item terms apply.
TS5A3166DCKR,U10;U11;U12;U13;U14;U15;U16;U17;U18;U20;U9,official vendor discrete model,Texas Instruments,TS5A3166DCKR,,,,,portable fallback,medium,Official package is not installed/verified; using documented portable model.,https://www.ti.com/product/TS5A3166#design-development,SCDJ032.ZIP,SCDJ032; revision/date not established until package inspection,"DCK physical pins 1 NO, 2 COM, 3 GND, 4 IN, 5 V+",HSPICE,False,HSPICE syntax conversion and a switching smoke test are required.,TI evaluation-item terms apply.
TPS610995DRVR,U7,official vendor SPICE model,Texas Instruments,TPS610995DRVR,,,,,portable fallback,medium,Official package is not installed/verified; using documented portable model.,https://www.ti.com/product/TPS61099#design-development,SLVMCO7A.ZIP,"SLVMCO7A, Rev. A","DRV package physical pins 1 GND, 2 VOUT, 3 FB, 4 EN, 5 SW, 6 VIN; exposed pad 7 is tied to GND outside vendor model",PSpice transient,False,"Official package is unencrypted, but compatibility and terminal order must be verified in the installed package.",TI evaluation-item terms apply.
REF3020AIDBZR,U21,official vendor SPICE model,Texas Instruments,REF3020AIDBZR,,,,,portable fallback,medium,Official package is not installed/verified; using documented portable model.,https://www.ti.com/product/REF30#design-development,SBVM736A.TSM,"SBVM736A, Rev. A","Official DBZ physical pins are 1 IN, 2 OUT, 3 GND and match the KiCad export. The vendor TINA .SUBCKT terminal order is a separate inspection gate.",TINA-TI,,TINA macro-model may require manual extraction/conversion; strict mode must not assume compatibility.,TI evaluation-item terms apply.
TPD1E05U06DPYT,D1;D18;D19,datasheet-derived electrical model,Texas Instruments,TPD1E05U06DPYT,,,,,portable fallback,medium,Official package is not installed/verified; using documented portable model.,https://www.ti.com/product/TPD1E05U06#design-development,Exact catalog part has IBIS and S-parameter models; TPD1E05U06-Q1 has SLVME60.ZIP PSpice transient model,Exact-part transient SPICE unavailable; Q1 comparison package SLVME60,two-terminal unidirectional ESD protector,PSpice transient for Q1 variant,,Exact catalog model is unavailable as a public transient SPICE model; use documented datasheet-derived model unless the Q1 model is separately validated.,TI evaluation-item terms apply.
BSS138,Q1;Q3;Q4;Q5;Q6;Q7,datasheet-derived electrical model,onsemi,BSS138,,,,,portable fallback,medium,Official package is not installed/verified; using documented portable model.,https://www.onsemi.com/products/discrete-power-modules/mosfets/bss138,,Exact-vendor model version/date not established,KiCad physical pins are audited before mapping to D/G/S,SPICE,False,Use exact onsemi model if installed and inspected; otherwise portable datasheet-derived MOSFET model.,Check onsemi model licence before committing.
