reference,value,footprint,manufacturer,manufacturer_part,supplier_number,physical_pin,pin_function,pin_type,connected_net,functional_block,model_category,model_file,model_subcircuit,model_terminal_order,model_confidence,simulation_status
BT1,"type=""R"" model=""Battery_Cell"" lib=""""",Maxime:BAT-TH_CR2032-BS-6-1,,,C70377,1,+_1,passive,+BATT,power and precision references,datasheet-derived electrical model,,,,medium,CR2032 fixed-source or dynamic equivalent; exact cell manufacturer unresolved
BT1,"type=""R"" model=""Battery_Cell"" lib=""""",Maxime:BAT-TH_CR2032-BS-6-1,,,C70377,2,-_2,passive,GNDREF,power and precision references,datasheet-derived electrical model,,,,medium,CR2032 fixed-source or dynamic equivalent; exact cell manufacturer unresolved
C1,10uF,JLCPCB:C_0805,SAMSUNG(三星),CL05A106MP5NUNC,C15850,1,1_1,passive,+BATT,power and precision references,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C1,10uF,JLCPCB:C_0805,SAMSUNG(三星),CL05A106MP5NUNC,C15850,2,2_2,passive,GNDREF,power and precision references,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C2,10uF,JLCPCB:C_0805,SAMSUNG(三星),CL05A106MP5NUNC,C15850,1,1_1,passive,VDD,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C2,10uF,JLCPCB:C_0805,SAMSUNG(三星),CL05A106MP5NUNC,C15850,2,2_2,passive,GNDREF,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C3,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,GNDREF,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C3,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,VDD,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C4,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,GNDREF,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C4,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,VDD,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
