reference,instance,value,physical_pin,pin_function,connected_net,wrapper_terminal,model_name,model_terminal_index_or_token,model_terminal_role,model_file,mapping_note
BT1,BT1,"type=""R"" model=""Battery_Cell"" lib=""""",1,+_1,+BATT,P,LIF_CR2032_DYNAMIC or fixed source,1,positive,models/portable/lifeling_portable_models.lib,
BT1,BT1,"type=""R"" model=""Battery_Cell"" lib=""""",2,-_2,GNDREF,N,LIF_CR2032_DYNAMIC or fixed source,2,negative,models/portable/lifeling_portable_models.lib,
D1,D1,TPD1E05U06DPYT,1,I/O_1,Vm_Ext,IO,LIF_TPD1E05U06,1,IO,models/portable/lifeling_portable_models.lib,
D1,D1,TPD1E05U06DPYT,2,GND_2,GNDREF,GND,LIF_TPD1E05U06,2,GND,models/portable/lifeling_portable_models.lib,
D2,D2,BAT54WS L9,2,A_2,Vm_Int,A,LIF_BAT54WS,A,anode,models/portable/lifeling_portable_models.lib,
D2,D2,BAT54WS L9,1,K_1,VDD,K,LIF_BAT54WS,K,cathode,models/portable/lifeling_portable_models.lib,
D3,D3,BAT54WS L9,2,A_2,GNDREF,A,LIF_BAT54WS,A,anode,models/portable/lifeling_portable_models.lib,
D3,D3,BAT54WS L9,1,K_1,Vm_Int,K,LIF_BAT54WS,K,cathode,models/portable/lifeling_portable_models.lib,
D4,D4,1N4148WS,2,A_2,GNDREF,A,LIF_1N4148WS,A,anode,models/portable/lifeling_portable_models.lib,
D4,D4,1N4148WS,1,C_1,/Vkick,K,LIF_1N4148WS,K,cathode,models/portable/lifeling_portable_models.lib,
D5,D5,1N4148WS,2,A_2,/Vkick,A,LIF_1N4148WS,A,anode,models/portable/lifeling_portable_models.lib,
D5,D5,1N4148WS,1,C_1,Vw,K,LIF_1N4148WS,K,cathode,models/portable/lifeling_portable_models.lib,
D6,D6,RB521S30T1G,2,A_2,Net-(D6-A),A,LIF_RB521S30,A,anode,models/portable/lifeling_portable_models.lib,
D6,D6,RB521S30T1G,1,C_1,Vw,K,LIF_RB521S30,K,cathode,models/portable/lifeling_portable_models.lib,
D7,D7,1N4148WS,2,A_2,GNDREF,A,LIF_1N4148WS,A,anode,models/portable/lifeling_portable_models.lib,
D7,D7,1N4148WS,1,C_1,Vw,K,LIF_1N4148WS,K,cathode,models/portable/lifeling_portable_models.lib,
D8,D8,RB521S30T1G,2,A_2,/Rising_AP,A,LIF_RB521S30,A,anode,models/portable/lifeling_portable_models.lib,
D8,D8,RB521S30T1G,1,C_1,Spike_Pulse,K,LIF_RB521S30,K,cathode,models/portable/lifeling_portable_models.lib,
D9,D9_R,19-237/R6GHBHC-A01/2T,4,+_4,VDD,A,LIF_LED_RED,A,anode,models/portable/lifeling_portable_models.lib,
D9,D9_R,19-237/R6GHBHC-A01/2T,1,R-_1,Net-(D9-R-),K,LIF_LED_RED,K,red cathode,models/portable/lifeling_portable_models.lib,
D9,D9_G,19-237/R6GHBHC-A01/2T,4,+_4,VDD,A,LIF_LED_GREEN,A,anode,models/portable/lifeling_portable_models.lib,
D9,D9_G,19-237/R6GHBHC-A01/2T,2,G-_2,Net-(D9-G-),K,LIF_LED_GREEN,K,green cathode,models/portable/lifeling_portable_models.lib,
D9,D9_B,19-237/R6GHBHC-A01/2T,4,+_4,VDD,A,LIF_LED_BLUE,A,anode,models/portable/lifeling_portable_models.lib,
D9,D9_B,19-237/R6GHBHC-A01/2T,3,B-_3,Net-(D9-B-),K,LIF_LED_BLUE,K,blue cathode,models/portable/lifeling_portable_models.lib,
D10,D10,BAT54WS L9,2,A_2,Net-(D10-A),A,LIF_BAT54WS,A,anode,models/portable/lifeling_portable_models.lib,
D10,D10,BAT54WS L9,1,K_1,VDD,K,LIF_BAT54WS,K,cathode,models/portable/lifeling_portable_models.lib,
D11,D11,BAT54WS L9,2,A_2,GNDREF,A,LIF_BAT54WS,A,anode,models/portable/lifeling_portable_models.lib,
D11,D11,BAT54WS L9,1,K_1,Net-(D10-A),K,LIF_BAT54WS,K,cathode,models/portable/lifeling_portable_models.lib,
D12,D12,BAT54WS L9,2,A_2,Net-(D12-A),A,LIF_BAT54WS,A,anode,models/portable/lifeling_portable_models.lib,
D12,D12,BAT54WS L9,1,K_1,VDD,K,LIF_BAT54WS,K,cathode,models/portable/lifeling_portable_models.lib,
D13,D13,BAT54WS L9,2,A_2,GNDREF,A,LIF_BAT54WS,A,anode,models/portable/lifeling_portable_models.lib,
D13,D13,BAT54WS L9,1,K_1,Net-(D12-A),K,LIF_BAT54WS,K,cathode,models/portable/lifeling_portable_models.lib,
D14,D14,BAT54WS L9,2,A_2,Net-(D14-A),A,LIF_BAT54WS,A,anode,models/portable/lifeling_portable_models.lib,
D14,D14,BAT54WS L9,1,K_1,VDD,K,LIF_BAT54WS,K,cathode,models/portable/lifeling_portable_models.lib,
D15,D15,BAT54WS L9,2,A_2,GNDREF,A,LIF_BAT54WS,A,anode,models/portable/lifeling_portable_models.lib,
D15,D15,BAT54WS L9,1,K_1,Net-(D14-A),K,LIF_BAT54WS,K,cathode,models/portable/lifeling_portable_models.lib,
D16,D16,BAT54WS L9,2,A_2,Net-(D16-A),A,LIF_BAT54WS,A,anode,models/portable/lifeling_portable_models.lib,
D16,D16,BAT54WS L9,1,K_1,VDD,K,LIF_BAT54WS,K,cathode,models/portable/lifeling_portable_models.lib,
D17,D17,BAT54WS L9,2,A_2,GNDREF,A,LIF_BAT54WS,A,anode,models/portable/lifeling_portable_models.lib,
