file_name,packaged_path,path,sha256,size_bytes,source_type,export_date,repository_commit,model_version,simulation_date,ngspice_version,python_version,operating_system,mtime_utc,kicad_tool
LIFeling(2).net,C:\Users\mjyzi\Documents\GitHub\LIFeling\SPICE\sources\LIFeling.net,C:\Users\mjyzi\Documents\GitHub\LIFeling\SPICE\sources\LIFeling.net,d5a0bf3aa70e19a4470710342be6b2e11441efbc97374f23ff95af703fe9eeea,818149,authoritative KiCad netlist,2026-07-29T20:56:15,272b9b74c9f78c5c64ee9d9609b1ea035339ad1e,2026.07.29-reconstruction-3,2026-07-30T00:38:51.826595+00:00,ngspice-46 : Circuit level simulation program,3.12.6,Windows-11-10.0.26200-SP0,2026-07-29T21:02:15.993425+00:00,Eeschema 10.0.1
LIFeling(1).kicad_sch,C:\Users\mjyzi\Documents\GitHub\LIFeling\SPICE\sources\LIFeling.kicad_sch,C:\Users\mjyzi\Documents\GitHub\LIFeling\SPICE\sources\LIFeling.kicad_sch,9971cd95cc7011216b15f5ae127d027145e486473367b6c6d7d025a09745f5dd,2117205,latest attached KiCad schematic cross-check,,272b9b74c9f78c5c64ee9d9609b1ea035339ad1e,2026.07.29-reconstruction-3,2026-07-30T00:38:51.826595+00:00,ngspice-46 : Circuit level simulation program,3.12.6,Windows-11-10.0.26200-SP0,2026-07-29T21:02:15.938353+00:00,
Spice.py,C:\Users\mjyzi\Documents\GitHub\LIFeling\SPICE\sources\Spice.previous.py,C:\Users\mjyzi\Documents\GitHub\LIFeling\SPICE\sources\Spice.previous.py,ee80d67884d0251fd4be509421c598d7f54c33abc61fb264b8e0f9e031878975,117013,previous simulator comparison only,,272b9b74c9f78c5c64ee9d9609b1ea035339ad1e,2026.07.29-reconstruction-3,2026-07-30T00:38:51.826595+00:00,ngspice-46 : Circuit level simulation program,3.12.6,Windows-11-10.0.26200-SP0,2026-07-29T21:02:15.930836+00:00,
run_full_validation.ps1,C:\Users\mjyzi\Documents\GitHub\LIFeling\SPICE\sources\run_full_validation.previous.ps1,C:\Users\mjyzi\Documents\GitHub\LIFeling\SPICE\sources\run_full_validation.previous.ps1,c4e7164bf972fe5fc2df11760d341ab6fec97b3cfbc8d3f28c87cc4e7528fb34,21524,previous runner comparison only,,272b9b74c9f78c5c64ee9d9609b1ea035339ad1e,2026.07.29-reconstruction-3,2026-07-30T00:38:51.826595+00:00,ngspice-46 : Circuit level simulation program,3.12.6,Windows-11-10.0.26200-SP0,2026-07-29T21:02:15.946479+00:00,
1n4148_spice.lib,C:\Users\mjyzi\Documents\GitHub\LIFeling\SPICE\models\provided\1n4148_spice.lib,C:\Users\mjyzi\Documents\GitHub\LIFeling\SPICE\models\provided\1n4148_spice.lib,f48fd3b8722660f0dc06039a58b67a6b6423628b10276128246971aa5b78be47,1629,provided vendor/cross-vendor model,,272b9b74c9f78c5c64ee9d9609b1ea035339ad1e,2026.07.29-reconstruction-3,2026-07-30T00:38:51.826595+00:00,ngspice-46 : Circuit level simulation program,3.12.6,Windows-11-10.0.26200-SP0,2026-07-29T21:02:15.801951+00:00,
lm2901.lib,C:\Users\mjyzi\Documents\GitHub\LIFeling\SPICE\models\provided\lm2901.lib,C:\Users\mjyzi\Documents\GitHub\LIFeling\SPICE\models\provided\lm2901.lib,622338a26a2f7cd185f254f7596c729f52e8c8ac69585009a8feae129c8d7296,7521,provided legacy/unused comparator model,,272b9b74c9f78c5c64ee9d9609b1ea035339ad1e,2026.07.29-reconstruction-3,2026-07-30T00:38:51.826595+00:00,ngspice-46 : Circuit level simulation program,3.12.6,Windows-11-10.0.26200-SP0,2026-07-29T21:02:15.801951+00:00,
MCP6001.txt,C:\Users\mjyzi\Documents\GitHub\LIFeling\SPICE\models\provided\MCP6001.txt,C:\Users\mjyzi\Documents\GitHub\LIFeling\SPICE\models\provided\MCP6001.txt,c510804933f8b3224f7c0b2064c98f7728ec81d3ce2052046a9b754dd8d482bf,5990,provided official Microchip family model,,272b9b74c9f78c5c64ee9d9609b1ea035339ad1e,2026.07.29-reconstruction-3,2026-07-30T00:38:51.826595+00:00,ngspice-46 : Circuit level simulation program,3.12.6,Windows-11-10.0.26200-SP0,2026-07-29T21:02:15.798946+00:00,
MCP6001_ngspice.lib,C:\Users\mjyzi\Documents\GitHub\LIFeling\SPICE\models\compatible\MCP6001_ngspice.lib,C:\Users\mjyzi\Documents\GitHub\LIFeling\SPICE\models\compatible\MCP6001_ngspice.lib,982f2bf0b7d801135bb665831d4e3c2053b3ff0ff6a19948eabf69fe772ffdd6,6101,ngspice syntax-normalised copy of official Microchip family model,,272b9b74c9f78c5c64ee9d9609b1ea035339ad1e,2026.07.29-reconstruction-3,2026-07-30T00:38:51.826595+00:00,ngspice-46 : Circuit level simulation program,3.12.6,Windows-11-10.0.26200-SP0,2026-07-29T22:07:02.036006+00:00,
MMBT3904.spice.txt,C:\Users\mjyzi\Documents\GitHub\LIFeling\SPICE\models\provided\MMBT3904.spice.txt,C:\Users\mjyzi\Documents\GitHub\LIFeling\SPICE\models\provided\MMBT3904.spice.txt,49c344a0aaa461869b9a6f7a67e8afc0afbb0050a6b4f7e19e44025b076a6d2d,1587,provided cross-manufacturer discrete model,,272b9b74c9f78c5c64ee9d9609b1ea035339ad1e,2026.07.29-reconstruction-3,2026-07-30T00:38:51.826595+00:00,ngspice-46 : Circuit level simulation program,3.12.6,Windows-11-10.0.26200-SP0,2026-07-29T21:02:15.795434+00:00,
BOM.csv,C:\Users\mjyzi\Documents\GitHub\LIFeling\SPICE\sources\BOM.csv,C:\Users\mjyzi\Documents\GitHub\LIFeling\SPICE\sources\BOM.csv,657aa5d14b832c269e664859ccc5e4f8da446c86de3a581b27c9f7f8bb221b48,17833216,uploaded supplementary BOM context; not authoritative for connectivity,,272b9b74c9f78c5c64ee9d9609b1ea035339ad1e,2026.07.29-reconstruction-3,2026-07-30T00:38:51.826595+00:00,ngspice-46 : Circuit level simulation program,3.12.6,Windows-11-10.0.26200-SP0,2026-07-29T21:02:15.989254+00:00,
