Name,Manufacturer,Component ID,Retailer,Retailer ID,Quantity,Links,,Observation,Cost per unit,Total,Total VAT,,,
Battery Holder (Open) AA 4 Cell PC Pin,Keystone Electronics,2477,DigiKey,36-2477-ND,1,https://www.digikey.co.uk/en/products/detail/keystone-electronics/2477/303822,,,1.6,1.6,1.92,,Total,Total VAT
"Polymeric PTC Resettable Fuse 30V 1.85 A Ih Through Hole Radial, Disc",Bourns Inc.,MF-R185,DigiKey,MF-R185-ND,1,https://www.digikey.co.uk/en/products/detail/bourns-inc/MF-R185/259973?s=N4IgTCBcDaIDoBcAEBZAYgWgEoEYAcArBgHIAiIAugL5A,,,0.45,0.45,0.54,,114.69,137.628
"Polymeric PTC Resettable Fuse 30V 1.85 A Ih Through Hole Radial, Disc",Bourns Inc.,MF-R110,DigiKey,MF-R110-ND,1,https://www.digikey.fr/fr/products/detail/bourns-inc/MF-R110/259970,,,0.39,0.39,0.468,,,
Audio Jack 3.5mm,,SJ1-3523N,DigiKey,CP1-3523N-ND,8,https://www.digikey.fr/fr/products/detail/same-sky-formerly-cui-devices/SJ1-3523N/738689?s=N4IgTCBcDaIMIAUCMBaAzAVjGgcinAIiALoC%2BQA,,,0.72,0,0,,,
,,,,,,,,,,0,0,,,
,,,,,,,,,,0,0,,,
P-Channel 60 V 27A (Tc) 120W (Tc) Through Hole TO-220-3,onsemi,FQP27P06,DigiKey,FQP27P06-ND,1,https://www.digikey.fr/fr/products/detail/onsemi/FQP27P06/965349,,,2.5,2.5,3,,,
General Purpose Relay SPDT,Omron Electronics Inc-EMC Div,G5V-1 DC5,DigiKey,39-G5V-1DC5-ND,8,https://www.digikey.fr/fr/products/detail/omron-electronics-inc-emc-div/G5V-1-DC5/87831,,,1.9,15.2,18.24,,,
,,,,,,,,,,0,0,,,
Ferrite Bead,Fair-Rite Products Corp.,2944666651,DigiKey,1934-1036-ND,3,https://www.digikey.fr/fr/products/detail/fair-rite-products-corp/2944666651/8593850?s=N4IgTCBcDaIGIEMCWAnAtAJSQFwKYAIwBOAFhIDZLyBWARhAF0BfIA,,,0.65,1.95,2.34,,,
Bipolar (BJT) Transistor Array 8 NPN Darlington 50V 500mA 2.25W Through Hole 18-DIP,STMicroelectronics,ULN2803A,DigiKey,497-2356-5-ND,2,https://www.digikey.fr/fr/products/detail/stmicroelectronics/ULN2803A/599591?s=N4IgTCBcDaICwE4DsBaMBmArANhZlAcgCIgC6AvkA,,,1.84,0,0,,,
Shunt Voltage Reference IC Programmable ±2.5V,Analog Devices Inc.,AD780ANZ,DigiKey,505-AD780ANZ-ND,1,https://www.digikey.co.uk/en/products/detail/analog-devices-inc/AD780ANZ/751093?s=N4IgTCBcDaIIIBEDsAOADHAcgLRAXQF8g,,,16.62,16.62,19.944,,,
Amplifier 2 Circuit Rail-to-Rail,Microchip Technology,MCP6022-I/P,DigiKey,MCP6022-I/P-ND,1,https://www.digikey.fr/fr/products/detail/microchip-technology/MCP6022-I-P/417828,,,1.6,1.6,1.92,,,
