time_s,VM,VLEAK,VREF
1e-07,0.385001663,1.29978493,0.395778359
1.00039918e-07,0.385001664,1.30029998,0.395936303
1.00119754e-07,0.385001665,1.30132103,0.396252092
1.00279425e-07,0.385001668,1.30332046,0.396883189
1.00598768e-07,0.385001673,1.30714893,0.3981434
1.01237454e-07,0.385001684,1.31416685,0.400655857
1.02514825e-07,0.385001706,1.32597457,0.405649056
1.04077681e-07,0.385001733,1.33706818,0.411701109
1.05867451e-07,0.385001764,1.34621933,0.418555447
1.07944767e-07,0.3850018,1.35330845,0.426409906
1.10396291e-07,0.385001843,1.35824832,0.435541495
1.13476441e-07,0.385001898,1.36104617,0.446806828
1.17209945e-07,0.385001964,1.36140648,0.460157867
1.21544733e-07,0.385002041,1.35959214,0.475251473
1.26848078e-07,0.385002135,1.35589955,0.49313945
1.33382208e-07,0.38500225,1.35057156,0.514335282
1.42111164e-07,0.385002402,1.34324402,0.541264719
1.54526021e-07,0.385002617,1.33309247,0.577003652
1.73914912e-07,0.385002949,1.31795097,0.627343611
1.93154699e-07,0.385003273,1.30351659,0.671342955
2.19322795e-07,0.385003705,1.28441678,0.722953656
2.46610794e-07,0.385004147,1.26486829,0.768096403
2.57634308e-07,0.385004322,1.25704581,0.784039342
2.65135413e-07,0.385004441,1.2517381,0.794208744
2.77331364e-07,0.385004632,1.24312348,0.809694391
2.89696431e-07,0.385004824,1.23440358,0.824168509
3.02855749e-07,0.385005026,1.22513574,0.838324792
3.16744596e-07,0.385005237,1.2153649,0.85198701
3.32895029e-07,0.385005479,1.20401411,0.866376355
3.49661353e-07,0.385005727,1.19224058,0.879774941
3.69605269e-07,0.385006017,1.17824642,0.893899572
3.90803163e-07,0.38500632,1.1633827,0.907006858
4.1507911e-07,0.38500666,1.1463714,0.919929831
4.42104227e-07,0.38500703,1.1274451,0.932079441
4.73704086e-07,0.38500745,1.10532956,0.943797048
5.11381956e-07,0.385007934,1.07898411,0.954932627
5.2095093e-07,0.385008054,1.07229818,0.957309708
5.31889747e-07,0.38500819,1.06488292,0.959839465
5.38854558e-07,0.385008276,1.06047507,0.961354009
5.46966404e-07,0.385008376,1.05581985,0.963031074
5.56876919e-07,0.385008496,1.05087766,0.964961396
5.70338012e-07,0.385008658,1.04528691,0.967389705
5.79908639e-07,0.385008773,1.04195058,0.968988599
5.89540802e-07,0.385008888,1.03899586,0.97049811
6.01768363e-07,0.385009033,1.03567033,0.972281071
6.13154141e-07,0.385009167,1.0329034,0.97381634
6.26891378e-07,0.385009329,1.02988809,0.975521401
6.41749861e-07,0.385009503,1.02694465,0.977199633
6.586755e-07,0.3850097,1.02392095,0.978921301
6.77358248e-07,0.385009916,1.02092546,0.980611288
6.98405264e-07,0.385010159,1.01791777,0.982281638
7.2158918e-07,0.385010425,1.01499262,0.98387197
7.46770811e-07,0.385010713,1.01221361,0.985344403
7.73757538e-07,0.38501102,1.00963224,0.986672224
8.02380148e-07,0.385011345,1.00727909,0.987843358
8.32681603e-07,0.385011687,1.00515518,0.98886274
8.5588555e-07,0.385011948,1.00375127,0.98951309
8.83357747e-07,0.385012257,1.00230072,0.990163018
9.11474134e-07,0.385012572,1.00102052,0.990715617
9.48200579e-07,0.385012983,0.999608412,0.991299319
9.87679353e-07,0.385013424,0.998363544,0.99178732
1.03169467e-06,0.385013914,0.997245438,0.992199904
1.07815398e-06,0.385014431,0.996311265,0.992521646
1.12926443e-06,0.385014999,0.995510892,0.992776758
1.18425892e-06,0.385015609,0.994853571,0.992968556
1.23988763e-06,0.385016226,0.994351992,0.993101198
1.29502442e-06,0.385016836,0.993977044,0.99319048
1.34853793e-06,0.385017429,0.993700892,0.993249469
1.35854206e-06,0.38501754,0.993658038,0.993257818
1.36825921e-06,0.385017647,0.993618551,0.99326533
1.37957644e-06,0.385017772,0.993574907,0.993273459
1.39173853e-06,0.385017907,0.993530605,0.99328153
1.4020174e-06,0.385018021,0.993495143,0.993287857
1.41304974e-06,0.385018143,0.993458983,0.993294183
1.42606046e-06,0.385018287,0.99341872,0.993301074
1.4399784e-06,0.385018441,0.993378329,0.993307818
1.45684707e-06,0.385018627,0.993332824,0.993315205
1.47414931e-06,0.385018819,0.99328979,0.993321974
1.49829449e-06,0.385019086,0.993235309,0.993330224
1.52108004e-06,0.385019337,0.993189301,0.993336891
1.55063558e-06,0.385019664,0.993136509,0.993344177
1.5791437e-06,0.385019979,0.9930921,0.993349972
1.61341485e-06,0.385020358,0.993046,0.993355638
1.64630067e-06,0.385020722,0.993008226,0.993359982
1.68367797e-06,0.385021135,0.992971788,0.99336389
1.72025698e-06,0.385021539,0.992941802,0.993366873
1.76109299e-06,0.385021991,0.992913842,0.993369444
1.80170536e-06,0.38502244,0.992890846,0.993371386
1.84738403e-06,0.385022944,0.99286966,0.993373022
1.89354605e-06,0.385023455,0.992852356,0.993374233
1.94497461e-06,0.385024023,0.99283696,0.993375204
1.99829821e-06,0.385024612,0.992824423,0.993375908
2.0574795e-06,0.385025266,0.992813677,0.993376441
2.12019898e-06,0.385025959,0.992805072,0.993376813
2.18993132e-06,0.38502673,0.99279801,0.993377075
2.26547717e-06,0.385027565,0.992792529,0.993377245
2.35029391e-06,0.385028502,0.992788269,0.993377353
2.44435573e-06,0.385029541,0.992785141,0.993377416
2.55196867e-06,0.385030731,0.992782894,0.99337745
2.67499428e-06,0.38503209,0.992781395,0.993377465
2.82021114e-06,0.385033695,0.992780457,0.99337747
2.99384882e-06,0.385035613,0.992779942,0.99337747
3.21015112e-06,0.385038003,0.99277971,0.993377469
3.48935931e-06,0.385041089,0.992779647,0.993377469
3.87575203e-06,0.385045358,0.992779661,0.993377468
4.46303912e-06,0.385051847,0.99277969,0.993377468
5.54354933e-06,0.385063787,0.992779705,0.993377468
7.70456977e-06,0.385087664,0.992779705,0.993377468
1e-05,0.385113026,0.992779703,0.993377468
1.04322041e-05,0.385117801,0.992779703,0.993377468
1.12966123e-05,0.385127351,0.992779703,0.993377468
1.30254286e-05,0.385146451,0.992779703,0.993377468
1.64830613e-05,0.385184649,0.992779703,0.993377468
2.33983267e-05,0.385261039,0.992779703,0.993377468
3.33983267e-05,0.385371487,0.992779703,0.993377468
4.33983267e-05,0.385481914,0.992779703,0.993377468
5.33983267e-05,0.385592322,0.992779703,0.993377468
6.33983267e-05,0.38570271,0.992779703,0.993377468
7.33983267e-05,0.385813077,0.992779703,0.993377468
8.33983267e-05,0.385923425,0.992779703,0.993377468
9.33983267e-05,0.386033752,0.992779703,0.993377468
0.000103398327,0.38614406,0.992779703,0.993377468
0.000113398327,0.386254347,0.992779703,0.993377468
0.000123398327,0.386364615,0.992779703,0.993377468
0.000133398327,0.386474862,0.992779703,0.993377468
0.000143398327,0.386585089,0.992779703,0.993377468
0.000153398327,0.386695296,0.992779703,0.993377468
0.000163398327,0.386805483,0.992779703,0.993377468
0.000173398327,0.38691565,0.992779703,0.993377468
0.000183398327,0.387025798,0.992779703,0.993377468
0.000193398327,0.387135925,0.992779703,0.993377468
0.000203398327,0.387246032,0.992779703,0.993377468
0.000213398327,0.387356119,0.992779703,0.993377468
0.000223398327,0.387466186,0.992779703,0.993377468
0.000233398327,0.387576233,0.992779703,0.993377468
0.000243398327,0.38768626,0.992779703,0.993377468
0.000253398327,0.387796267,0.992779703,0.993377468
0.000263398327,0.387906254,0.992779703,0.993377468
0.000273398327,0.388016221,0.992779703,0.993377468
0.000283398327,0.388126168,0.992779703,0.993377468
0.000293398327,0.388236095,0.992779703,0.993377468
0.000303398327,0.388346002,0.992779703,0.993377468
0.000313398327,0.388455889,0.992779703,0.993377468
0.000323398327,0.388565756,0.992779703,0.993377468
0.000333398327,0.388675603,0.992779703,0.993377468
0.000343398327,0.38878543,0.992779703,0.993377468
0.000353398327,0.388895237,0.992779703,0.993377468
0.000363398327,0.389005024,0.992779703,0.993377468
0.000373398327,0.389114792,0.992779703,0.993377468
0.000383398327,0.389224539,0.992779703,0.993377468
0.000393398327,0.389334266,0.992779703,0.993377468
0.000403398327,0.389443974,0.992779703,0.993377468
0.000413398327,0.389553661,0.992779703,0.993377468
0.000423398327,0.389663329,0.992779703,0.993377468
0.000433398327,0.389772976,0.992779703,0.993377468
0.000443398327,0.389882604,0.992779703,0.993377468
0.000453398327,0.389992211,0.992779703,0.993377468
0.000463398327,0.390101799,0.992779703,0.993377468
0.000473398327,0.390211367,0.992779703,0.993377468
0.000483398327,0.390320915,0.992779703,0.993377468
0.000493398327,0.390430443,0.992779703,0.993377468
0.000503398327,0.390539951,0.992779703,0.993377468
0.000513398327,0.390649439,0.992779703,0.993377468
0.000523398327,0.390758907,0.992779703,0.993377468
0.000533398327,0.390868356,0.992779703,0.993377468
0.000543398327,0.390977784,0.992779703,0.993377468
0.000553398327,0.391087193,0.992779703,0.993377468
0.000563398327,0.391196582,0.992779703,0.993377468
0.000573398327,0.39130595,0.992779703,0.993377468
0.000583398327,0.391415299,0.992779703,0.993377468
0.000593398327,0.391524628,0.992779703,0.993377468
0.000603398327,0.391633938,0.992779703,0.993377468
0.000613398327,0.391743227,0.992779703,0.993377468
0.000623398327,0.391852496,0.992779703,0.993377468
0.000633398327,0.391961746,0.992779703,0.993377468
0.000643398327,0.392070976,0.992779703,0.993377468
0.000653398327,0.392180185,0.992779703,0.993377468
0.000663398327,0.392289375,0.992779703,0.993377468
0.000673398327,0.392398546,0.992779703,0.993377468
0.000683398327,0.392507696,0.992779703,0.993377468
0.000693398327,0.392616826,0.992779703,0.993377468
0.000703398327,0.392725937,0.992779703,0.993377468
0.000713398327,0.392835028,0.992779703,0.993377468
0.000723398327,0.392944099,0.992779703,0.993377468
0.000733398327,0.39305315,0.992779703,0.993377468
0.000743398327,0.393162181,0.992779703,0.993377468
0.000753398327,0.393271192,0.992779703,0.993377468
0.000763398327,0.393380184,0.992779703,0.993377468
0.000773398327,0.393489156,0.992779703,0.993377468
0.000783398327,0.393598108,0.992779703,0.993377468
0.000793398327,0.39370704,0.992779703,0.993377468
0.000803398327,0.393815952,0.992779703,0.993377468
0.000813398327,0.393924845,0.992779703,0.993377468
0.000823398327,0.394033718,0.992779703,0.993377468
0.000833398327,0.394142571,0.992779703,0.993377468
0.000843398327,0.394251404,0.992779703,0.993377468
0.000853398327,0.394360218,0.992779703,0.993377468
0.000863398327,0.394469011,0.992779703,0.993377468
0.000873398327,0.394577785,0.992779703,0.993377468
0.000883398327,0.394686539,0.992779703,0.993377468
0.000893398327,0.394795274,0.992779703,0.993377468
0.000903398327,0.394903988,0.992779703,0.993377468
0.000913398327,0.395012683,0.992779703,0.993377468
0.000923398327,0.395121358,0.992779703,0.993377468
0.000933398327,0.395230013,0.992779703,0.993377468
0.000943398327,0.395338649,0.992779703,0.993377468
0.000953398327,0.395447264,0.992779703,0.993377468
0.000963398327,0.395555861,0.992779703,0.993377468
0.000973398327,0.395664437,0.992779703,0.993377468
0.000983398327,0.395772993,0.992779703,0.993377468
0.000993398327,0.39588153,0.992779703,0.993377468
0.00100339833,0.395990047,0.992779703,0.993377468
0.00101339833,0.396098545,0.992779703,0.993377468
0.00102339833,0.396207022,0.992779703,0.993377468
0.00103339833,0.39631548,0.992779703,0.993377468
0.00104339833,0.396423918,0.992779703,0.993377468
0.00105339833,0.396532337,0.992779703,0.993377468
0.00106339833,0.396640736,0.992779703,0.993377468
0.00107339833,0.396749115,0.992779703,0.993377468
0.00108339833,0.396857474,0.992779703,0.993377468
0.00109339833,0.396965814,0.992779703,0.993377468
0.00110339833,0.397074134,0.992779703,0.993377468
0.00111339833,0.397182434,0.992779703,0.993377468
0.00112339833,0.397290714,0.992779703,0.993377468
0.00113339833,0.397398975,0.992779703,0.993377468
0.00114339833,0.397507216,0.992779703,0.993377468
