Designator,Mid X,Mid Y,Rotation,Layer
BT1,233.397767,-32.528299,0.0,bottom
C1,84.74,-126.824888,270.0,top
C10,119.18,-38.205113,90.0,top
C100,187.55,-114.24,270.0,top
C101,173.582465,-109.166542,270.0,top
C102,76.92,-130.38,90.0,top
C103,77.31,-111.570226,90.0,top
C104,192.020198,-130.35089,90.0,top
C105,192.012467,-112.985113,90.0,top
C106,85.5,-113.25,180.0,top
C107,85.5,-107.23,0.0,top
C108,105.5,-107.21,0.0,top
C109,105.5,-113.31,0.0,top
C11,114.87,-37.49,90.0,top
C110,124.990005,-107.25,180.0,top
C111,124.990005,-113.3,0.0,top
C112,144.44,-107.26,180.0,top
C113,144.45,-113.29,0.0,top
C114,30.535,-97.52,0.0,top
C115,45.64,-79.88,0.0,top
C116,82.99,-79.875,0.0,top
C117,120.27,-79.77,0.0,top
C118,157.97,-79.72,0.0,top
C119,195.31,-79.72,0.0,top
C12,214.278976,-6.316706,90.0,top
C120,232.4,-79.75,0.0,top
C121,247.245,-97.59,0.0,top
C122,25.405,-110.22,180.0,top
C123,40.52,-92.58,0.0,top
C124,77.87,-92.585,0.0,top
C125,115.14,-92.48,0.0,top
C126,152.85,-92.42,180.0,top
C127,190.19,-92.42,0.0,top
C128,227.28,-92.45,0.0,top
C129,242.125,-110.3,0.0,top
C13,126.720983,-129.501528,90.0,top
C130,11.575,-102.0,90.0,top
C131,26.71,-84.318181,90.0,top
C132,64.05,-84.345,90.0,top
C133,101.32,-84.25,90.0,top
C134,139.02,-84.19,90.0,top
C135,176.36,-84.19,90.0,top
C136,213.59,-84.216276,90.0,top
C137,228.305,-102.06,90.0,top
C138,11.731958,-119.21,90.0,top
C139,24.2525,-119.255509,90.0,top
C14,151.853867,-79.77,180.0,top
C140,36.7925,-119.254026,90.0,top
C141,49.3125,-119.2825,90.0,top
C142,206.65,-119.08,90.0,top
C143,219.039407,-119.083295,90.0,top
C144,231.5525,-119.349613,90.0,top
C145,244.07,-119.35,90.0,top
C146,2.97,-124.5,90.0,top
C147,15.39,-124.56,90.0,top
C148,28.04,-124.53,90.0,top
C149,40.56,-124.56,90.0,top
C15,157.99,-93.69,180.0,top
C150,198.31,-124.4,90.0,top
C151,210.71,-124.39,90.0,top
